1 <- 3(+)
1 <- 4(+)
1 <- 5(-)
1 <- 7(+)
1 <- 11(-)
1 <- 12(-)
1 <- 14(-)
1 <- 15(-)
1 <- 16(+)
1 <- 19(-)
1 <- 20(-)
1 <- 22(+)
1 <- 23(-)
1 <- 24(+)
1 <- 26(+)
1 <- 28(+)
1 <- 30(+)
1 <- 32(-)
2 <- 13(-)
2 <- 18(+)
2 <- 24(-)
3 <- 4(+)
3 <- 7(+)
3 <- 11(-)
3 <- 12(-)
3 <- 14(+)
3 <- 18(-)
3 <- 19(-)
3 <- 23(-)
3 <- 24(+)
3 <- 25(+)
3 <- 26(+)
3 <- 28(+)
3 <- 30(+)
3 <- 32(-)
4 <- 1(+)
4 <- 7(+)
4 <- 8(+)
4 <- 12(-)
4 <- 14(+)
4 <- 15(-)
4 <- 19(-)
4 <- 24(+)
4 <- 25(+)
4 <- 26(+)
4 <- 30(+)
4 <- 31(-)
4 <- 32(-)
5 <- 1(-)
5 <- 3(-)
5 <- 4(-)
5 <- 7(-)
5 <- 12(+)
5 <- 13(-)
5 <- 14(+)
5 <- 15(-)
5 <- 16(-)
5 <- 17(-)
5 <- 19(+)
5 <- 20(+)
5 <- 23(+)
5 <- 25(-)
5 <- 26(-)
5 <- 28(-)
5 <- 30(-)
5 <- 32(+)
6 <- 2(+)
6 <- 18(+)
7 <- 1(+)
7 <- 3(+)
7 <- 4(+)
7 <- 5(-)
7 <- 10(+)
7 <- 11(-)
7 <- 12(-)
7 <- 14(-)
7 <- 15(-)
7 <- 16(+)
7 <- 17(+)
7 <- 18(-)
7 <- 19(-)
7 <- 20(-)
7 <- 23(-)
7 <- 25(+)
7 <- 26(-)
7 <- 28(+)
7 <- 30(+)
7 <- 32(-)
8 <- 7(+)
8 <- 10(+)
8 <- 19(-)
8 <- 20(-)
8 <- 24(+)
8 <- 28(+)
9 <- 12(-)
9 <- 19(+)
9 <- 20(+)
9 <- 23(+)
9 <- 25(-)
10 <- 1(+)
10 <- 7(+)
10 <- 8(+)
10 <- 11(-)
10 <- 12(-)
10 <- 14(-)
10 <- 20(-)
10 <- 26(+)
10 <- 28(+)
10 <- 32(-)
11 <- 1(-)
11 <- 2(+)
11 <- 10(-)
11 <- 12(+)
11 <- 14(+)
11 <- 15(+)
11 <- 18(+)
11 <- 23(+)
11 <- 32(+)
12 <- 1(+)
12 <- 3(-)
12 <- 4(-)
12 <- 5(+)
12 <- 7(-)
12 <- 10(-)
12 <- 11(+)
12 <- 13(-)
12 <- 14(-)
12 <- 15(-)
12 <- 16(-)
12 <- 19(+)
12 <- 20(+)
12 <- 23(+)
12 <- 24(-)
12 <- 25(+)
12 <- 26(+)
12 <- 28(-)
12 <- 30(+)
12 <- 32(+)
13 <- 2(-)
14 <- 1(-)
14 <- 3(+)
14 <- 5(+)
14 <- 7(-)
14 <- 10(-)
14 <- 12(-)
14 <- 15(+)
14 <- 16(-)
14 <- 19(+)
14 <- 20(+)
14 <- 23(-)
14 <- 24(-)
14 <- 25(+)
14 <- 26(+)
14 <- 28(-)
14 <- 30(+)
14 <- 32(+)
15 <- 1(-)
15 <- 3(+)
15 <- 4(+)
15 <- 5(-)
15 <- 7(-)
15 <- 12(+)
15 <- 14(+)
15 <- 16(+)
15 <- 18(-)
15 <- 19(+)
15 <- 20(-)
15 <- 22(+)
15 <- 23(-)
15 <- 24(+)
15 <- 25(+)
15 <- 26(-)
15 <- 28(+)
15 <- 30(-)
15 <- 32(+)
16 <- 6(-)
16 <- 8(+)
16 <- 10(+)
16 <- 18(-)
16 <- 20(-)
16 <- 23(-)
16 <- 24(+)
16 <- 28(+)
16 <- 32(-)
17 <- 5(-)
17 <- 9(-)
17 <- 19(-)
17 <- 31(-)
18 <- 1(-)
18 <- 3(-)
18 <- 7(-)
18 <- 10(-)
18 <- 11(+)
18 <- 16(-)
18 <- 28(-)
18 <- 29(-)
19 <- 1(-)
19 <- 4(-)
19 <- 5(+)
19 <- 7(-)
19 <- 10(-)
19 <- 11(+)
19 <- 12(+)
19 <- 14(+)
19 <- 15(+)
19 <- 17(-)
19 <- 28(-)
19 <- 29(-)
19 <- 30(-)
19 <- 32(+)
20 <- 4(-)
20 <- 9(+)
20 <- 11(+)
20 <- 15(-)
20 <- 19(+)
20 <- 23(+)
20 <- 24(-)
20 <- 25(-)
20 <- 26(-)
20 <- 30(-)
21 <- 2(+)
21 <- 5(+)
21 <- 28(-)
21 <- 29(-)
22 <- 5(-)
22 <- 8(+)
22 <- 14(-)
22 <- 15(+)
22 <- 24(+)
22 <- 26(+)
23 <- 1(-)
23 <- 5(+)
23 <- 8(-)
23 <- 13(-)
23 <- 14(-)
23 <- 18(+)
23 <- 19(+)
23 <- 20(+)
23 <- 26(-)
23 <- 28(-)
23 <- 31(+)
24 <- 1(+)
24 <- 2(-)
24 <- 3(+)
24 <- 4(+)
24 <- 5(-)
24 <- 7(+)
24 <- 8(+)
24 <- 12(-)
24 <- 14(-)
24 <- 15(+)
24 <- 17(+)
24 <- 19(-)
24 <- 20(-)
24 <- 30(+)
25 <- 1(+)
25 <- 3(+)
25 <- 4(+)
25 <- 7(+)
25 <- 9(-)
25 <- 11(-)
25 <- 12(+)
25 <- 19(-)
25 <- 23(-)
25 <- 26(+)
25 <- 30(+)
25 <- 32(-)
26 <- 1(+)
26 <- 3(+)
26 <- 5(-)
26 <- 7(+)
26 <- 12(+)
26 <- 14(+)
26 <- 15(+)
26 <- 16(+)
26 <- 18(-)
26 <- 19(-)
26 <- 20(-)
26 <- 23(-)
26 <- 24(+)
26 <- 25(+)
26 <- 28(+)
26 <- 30(+)
26 <- 32(-)
27 <- 2(+)
27 <- 18(+)
27 <- 24(-)
28 <- 1(+)
28 <- 3(+)
28 <- 5(-)
28 <- 7(+)
28 <- 10(+)
28 <- 12(-)
28 <- 13(+)
28 <- 14(-)
28 <- 15(+)
28 <- 16(+)
28 <- 19(-)
28 <- 20(-)
28 <- 23(-)
28 <- 24(+)
28 <- 26(+)
