flhD	hdfR	qseB	lrhA	flhC	ompR	rcsB	rcsA	csgD	bolA	rstA	gadE	ydeO	evgA	gadW	gadX	rutR	nemR	torR	phoP	mdtF	mdtE	csgF	csgG	csgE	yhiD	hdeB	hdeA	gadA	gadB	gadC	sra	flgM	flgJ	fliR	rprA	wcaB	flhE	fliQ	fliM	fliH	flgE	flgN	wzc	flgH	fliK	gltI	yhjH	osmB	flhB	fliN	recC	flgD	flgI	fliG	fliF	fliT	fliD	bdm	flhA	ppdC	gadY	flgA	flgG
-0.3373769777826965	-0.7088312450796366	0.0	0.0	0.0	0.0	-0.5822068571578711	0.0	0.0	-0.9773441210854799	0.0	0.0	0.0	0.0	0.0	0.0	-0.29213195526972413	-0.3863927193451673	-0.46915855584666133	0.4438590482257213	0.0	0.7122770292722068	0.0	0.0	0.0	0.0	-0.1015770275228457	0.0	0.2989578590526185	0.0	0.517672029863388	0.09517713934503136	0.0	0.0	0.4397540811194424	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5115358101646358	0.0	0.0	0.49322329756686467	0.0	0.0	0.4473505187716332	0.8532927639275016	0.0	0.0	0.0	0.0	0.0	0.0	0.0
-0.9031406638678163	-0.9090439099818468	0.0	0.0	0.0	0.0	-0.28264186973683536	0.0	0.0	-0.22609131271019578	0.0	0.9243384561532351	0.0	0.0	0.0	0.0	0.0	0.0	-0.1263089613057673	0.0	0.0	0.0	0.0	0.25938727328757705	0.0	0.07244744535887075	0.15604386566311257	0.0	0.0	0.03441331547827248	0.0	0.0	0.0	0.0	0.42966000542289956	0.36851518366794	0.0	0.0	0.5761813263449189	0.14885761023221444	0.0	0.2676076168674302	0.12617089794826403	0.0	0.10159777324861266	0.8540908856028279	0.0	0.0	0.0	0.3170770428585762	0.0	0.24000207752998182	0.0	0.0	0.0	0.3962962625019249	0.0	0.0	0.0	0.0	0.0	0.0	0.5368074465319097	0.15607657599917354
-0.8934864460024983	-0.99277249048464	0.14123840727303225	0.0	0.0	-0.26168762100860476	-0.35422157077118754	0.6263174369143508	0.0	-0.7882530023343861	-0.03447698569582429	0.0	0.1119378811218934	0.0	-0.9150236030109227	-0.09747225331650422	0.0	0.0	0.0	0.0	0.0	0.5570122758895538	0.0	0.0	0.0	0.0	0.30026800366222994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12628936620674475	0.0	0.0	0.0	0.8210031700360891	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.866398850081017	0.0	0.0	0.7823559065989591	0.05640056160482686	0.0	0.0	0.0	0.0	0.0	0.0	0.6387597246528114	0.40017907558208865	0.0	0.0
0.0	-0.5883634351193905	0.0	0.7768134238920645	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6597515937762051	-0.7113693847786635	0.0	-0.576073995558545	0.0	0.0	0.17322086150831537	0.0	0.34766680873375455	0.0	-0.187194408902722	0.0	0.8034093211160732	0.0	-0.041209787011554644	-0.45576953480179094	0.0	-0.41018047735160523	0.0	0.0	0.49132041109432556	0.0	0.39969738943810473	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8033391686714129	0.5270900226778386	0.0	0.0	0.2992122990862534	0.0	0.0	0.49902428345445304	0.0	0.0	0.0	0.47845840747518903	0.04740723803937404	0.0	0.41174977869648466	0.6739452165112287	0.0	0.0	0.0	0.0	0.0
0.0	-0.592781703453511	0.49782749339398047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0357980996805069	0.0	0.0	0.0	0.0	0.0	-0.2986214093398303	0.0	0.3007025297645386	0.7466550920177113	0.0	0.0	0.0	-0.4804937766674742	0.0	0.3786128817043467	0.0	0.0	0.0	0.0	0.0	0.12227734068717466	0.5104486326471446	0.0	0.7160671665177764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.927707656091202	0.6679802437164888	0.0	0.8093192417616898	0.7152882729067257	0.0	0.0	0.0	0.7315908113033927	0.0	0.0	0.0	0.0	0.0	0.1721453309026057	0.0	0.0	0.7296085976036519
0.0	-0.3619830140378326	0.0	-0.004177957375021118	-0.6782592262607068	0.0	0.0	0.0	0.0	-0.06394782103598118	0.0	0.2934794005968782	0.574183449056481	0.0	-0.2722638212144375	0.0	0.0	-0.539939300622791	-0.9043509049806744	0.9431879476558324	0.29802415277993793	0.0	0.0	0.17072791461105408	0.0	0.8842400131968541	0.0	0.0	0.34677883691926814	-0.30233697697377976	0.0	0.0	0.3808213053953986	0.0	0.0	0.0	0.2586772253738886	0.0	0.0	0.6810192709574653	0.0	0.0	0.0	0.5190335216558413	0.3293083977068809	0.18189173458978133	0.0	0.0	0.8896168641331853	0.2119929244252795	0.0	0.0	0.0	0.0	0.0	0.0	0.3801257030530991	0.0	0.0	0.7032725828511164	0.4027987975594098	0.0	0.0	0.0
0.0	0.0	0.751307078445517	0.04471862449082599	0.0	0.0	0.0	0.4560035568339937	0.0	0.0	0.0	0.30687264669995634	0.3305618014657097	0.542729625886464	-0.16666460293345153	0.0	0.0	0.0	0.0	0.9530220679387357	0.0	0.0	0.198964544538774	0.0	0.0	0.0	0.0	0.0	0.0	-0.3419973483481186	0.0	0.0	0.0	0.0	0.0	0.0	0.04748803963905038	0.0	0.0	0.0	0.0	0.0	0.6574798492702534	0.0	0.5910826405624894	0.0	0.0	0.0	0.0	0.7166324188909435	0.0	0.2612749787427784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2893680647292629	0.0	0.08583866901895562	0.0	0.0
0.0	0.0	0.4975839720984926	0.0	0.0	0.0	0.0	0.06121664598157632	0.0	-0.3274979677516967	0.0	0.0	0.0	0.0	0.0	0.0	-0.025057472055777907	0.0	0.0	0.0	0.0	0.7689812666308514	0.0	-0.1354143017044389	0.08859851776661126	0.0	0.0	0.0	0.049282021474366555	0.02606331895247821	0.10071511737005479	-0.2980615443518049	0.0	0.874206815033081	0.0	0.0	0.18015462327768864	0.0	0.27263284339973004	0.0	0.0	0.0	0.0	0.0	0.0	0.15033678139462667	0.0	0.0	0.11275822097018968	0.0	0.0	0.0	0.0	0.35651388311962706	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6461797026378528	0.0	0.0
-0.4106490430422127	0.0	0.2775746675154199	0.0	0.0	0.0	0.0	0.8092909579774551	0.0	0.0	0.44798632873496386	0.2280172902655962	0.31423902199651765	0.3716057270655124	0.0	0.0	0.0	0.0	-0.47562678437680006	0.0	0.0	0.6768739515487484	0.1544879185635526	0.0	0.0	0.0	-0.4728275628843145	0.03488163661915977	-0.5529009784773984	0.0	0.10947689584390885	-0.38410000530682864	0.3468562484004687	0.0	0.0	0.0	0.5354660852348602	0.0	0.0	0.45156983931271266	0.0	0.0	-0.08296526936005161	0.22664197488677362	0.8339842028099147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.06033150163275082	0.18849429455636504	0.02642705221027105	0.6750951267271461	0.0	0.0	0.847188928751041	0.0	0.39434054847075206	0.0	0.0
-0.27984142932109535	0.0	0.0	0.27759416534337267	0.0	0.0	-0.6194548485800624	0.5985596290467493	0.0	-0.2869879426434636	0.35312312188832434	0.0	0.0	0.0	0.0	0.04014991869642093	0.0	0.0	-0.43591774720698595	0.0	0.0	0.0	0.0	0.1710720126910037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3406552148984915	0.0	0.0	0.0	0.6633643434796317	0.5810450819800865	0.0	0.8955037098004357	0.5996035822781769	0.28906849852665856	0.0	0.19534041386480186	0.0	0.0	0.0	0.0	0.6789612201217003	0.0	0.043610862130806484	0.0	0.0	0.0	0.0	0.6695720836331591	0.7144044028562004	0.6726073318087922	0.0	0.0
