csgD	csgF	+
csgD	csgG	+
csgD	csgD	+
csgD	csgE	+
evgA	mdtF	+
evgA	ydeO	+
evgA	mdtE	+
evgA	evgA	+
evgA	gadE	+
fhlA	hyfA	+
fhlA	hyfB	+
fhlA	hyfC	+
fhlA	hyfD	+
fhlA	hyfE	+
fhlA	hyfG	+
fhlA	hyfI	+
fhlA	hyfJ	+
fhlA	hyfR	+
fhlA	focB	+
fhlA	fhlA	+
gadE	rcsA	+
gadE	gadE	+
gadE	mdtE	+
gadE	mdtF	+
glrR	glmY	+
hipA	hipB	-
hipA	hipA	-
hipB	hipA	-
hipB	hipB	-
hyfR	focB	+
hyfR	hyfR	+
hyfR	hyfJ	+
hyfR	hyfI	+
hyfR	hyfA	+
hyfR	hyfE	+
hyfR	hyfD	+
hyfR	hyfC	+
hyfR	hyfB	+
hyfR	hyfG	+
ihfB	ihfB	-
ihfB	hipB	+
ihfB	hipA	+
ihfB	ompF	-
ihfB	ompR	-
ihfB	tdcA	+
ihfB	tdcB	+
ihfB	tdcC	+
ihfB	tdcD	+
ihfB	tdcG	+
ihfB	tdcF	+
ihfB	tdcE	+
ihfB	fhlA	+
ihfB	yeiL	+
ihfB	yiaJ	-
ihfB	yiaK	+
ihfB	yiaL	+
ihfB	yiaN	+
ihfB	yiaO	+
ihfB	lyxK	+
ihfB	sgbH	+
ihfB	sgbU	+
ihfB	sgbE	+
ihfB	glmY	+
ihfB	sra	+
ihfB	yjbE	+
ihfB	yjbF	+
ihfB	yjbG	+
ihfB	yjbH	+
ompR	csgD	+
ompR	csgF	+
ompR	csgG	+
ompR	sra	-
ompR	ompF	-
ompR	bolA	-
ompR	csgE	+
rcsA	ftsA	+
rcsA	ftsZ	+
rcsA	osmB	+
rcsA	rcsA	+
rcsA	sra	+
rcsA	yjbE	+
rcsA	yjbF	+
rcsA	yjbG	+
rcsA	yjbH	+
rcsA	rprA	+
rcsA	csgG	-
rcsA	csgF	-
rcsA	csgE	-
rcsA	csgD	-
rcsA	bdm	+
rcsA	wcaB	+
rcsA	wcaA	+
rcsA	wzc	+
rcsB	wza	+
rcsA	wza	+
rcsB	ftsA	+
rcsB	ftsZ	+
rcsB	osmB	+
rcsB	rcsA	+
rcsB	sra	+
rcsB	yjbE	+
rcsB	yjbF	+
rcsB	yjbG	+
rcsB	yjbH	+
rcsB	rprA	+
rcsB	csgG	-
rcsB	csgF	-
rcsB	csgE	-
rcsB	csgD	-
rcsB	bdm	+
rcsB	wcaB	+
rcsB	wcaA	+
rcsB	wzc	+
rcsB	wzb	+
rcsA	wzb	+
rstA	ompF	-
rstA	csgD	-
rstA	csgE	-
rstA	csgF	-
rstA	csgG	-
tdcA	tdcC	+
tdcA	tdcD	+
tdcA	tdcG	+
tdcA	tdcF	+
tdcA	tdcE	+
tdcA	tdcA	+
tdcA	tdcB	+
tdcR	tdcE	+
tdcR	tdcA	+
tdcR	tdcB	+
tdcR	tdcC	+
tdcR	tdcF	+
tdcR	tdcG	+
tdcR	tdcD	+
ydeO	mdtF	+
ydeO	mdtE	+
ydeO	gadE	+
yeiL	yeiL	+
yiaJ	yiaN	-
yiaJ	yiaL	-
yiaJ	yiaK	-
yiaJ	yiaO	-
yiaJ	sgbE	-
yiaJ	sgbU	-
yiaJ	sgbH	-
yiaJ	lyxK	-
