evgA	mdtF	+
evgA	ydeO	+
evgA	mdtE	+
evgA	evgA	+
evgA	gadE	+
fis	hupA	+
fis	hupB	-
fis	mtlA	-
fis	mtlD	-
fis	marA	+
fis	marR	+
fis	gadB	-
fis	marB	+
fis	mtlR	-
fis	fis	-
fis	ptsG	-
fis	gadA	-
fis	gadC	-
fis	glcC	-
fis	gadX	-
fis	xylG	-
fis	xylH	-
fis	xylF	-
fis	xylR	-
gadE	purA	+
gadE	hdeA	+
gadE	hdeB	+
gadE	yhiD	+
gadE	gadB	+
gadE	hdeD	+
gadE	gadE	+
gadE	mdtE	+
gadE	mdtF	+
gadE	gadW	+
gadE	gadX	+
gadE	gadA	+
gadE	gadC	+
gadE	cadA	+
gadE	cadB	+
gadW	slp	+
gadW	mdtE	+
gadW	mdtF	+
gadW	gadW	-
gadW	gadX	-
gadW	gadA	-
gadW	gadY	+
gadW	gadC	-
gadW	hdeA	+
gadW	hdeB	+
gadW	yhiD	+
gadW	gadB	-
gadW	gadE	+
gadW	dctR	+
gadX	gadE	+
gadX	gadB	+
gadX	yhiD	+
gadX	hdeB	-
gadX	hdeA	-
gadX	gadC	+
gadX	hdeD	+
gadX	cadB	+
gadX	cadA	+
gadX	dctR	+
gadX	slp	+
gadX	mdtE	+
gadX	mdtF	+
gadX	gadY	+
gadX	gadA	+
gadX	gadX	+
gadX	gadW	-
glcC	glcC	-
hupB	seqA	-
hupB	pgm	-
hupB	tyrP	-
hupA	micF	+
hupA	seqA	-
hupB	micF	+
hupA	tyrP	-
hupA	pgm	-
marA	pqiB	+
marA	pqiA	+
marA	micF	+
marA	slp	-
marA	dctR	-
marA	acrB	+
marA	acrA	+
marA	marB	+
marA	marR	+
marA	marA	+
marA	inaA	+
marA	rfaY	+
marA	rfaZ	+
marA	yhiD	-
marA	hdeB	-
marA	hdeA	-
marA	rob	-
marA	zwf	+
marA	fumC	+
marA	fpr	+
marA	nfo	+
marA	poxB	+
marA	purA	-
marA	putA	+
marA	sodA	+
marA	tolC	+
marA	ygiA	+
marA	ygiB	+
marA	ygiC	+
marR	marA	-
marR	marB	-
marR	marR	-
mtlR	mtlA	-
mtlR	mtlR	-
mtlR	mtlD	-
nemR	nemA	-
nemR	nemR	-
putA	putA	-
rob	fumC	+
rob	nfo	+
rob	sodA	+
rob	tolC	+
rob	ygiA	+
rob	ygiB	+
rob	ygiC	+
rob	zwf	+
rob	inaA	+
rob	marA	+
rob	marR	+
rob	marB	+
rob	acrA	+
rob	acrB	+
rob	micF	+
rutR	nemR	-
rutR	rutR	-
rutR	gadX	-
rutR	gadW	-
rutR	nemA	-
soxR	fumC	+
soxR	soxR	-
soxR	soxS	+
soxS	inaA	+
soxS	rfaY	+
soxS	rfaZ	+
soxS	marA	+
soxS	marR	+
soxS	marB	+
soxS	acrA	+
soxS	acrB	+
soxS	micF	+
soxS	pqiA	+
soxS	pqiB	+
soxS	zwf	+
soxS	ygiC	+
soxS	ygiB	+
soxS	ygiA	+
soxS	tolC	+
soxS	soxS	-
soxS	sodA	+
soxS	ptsG	+
soxS	poxB	+
soxS	nfo	+
soxS	fpr	+
soxS	fumC	+
torR	gadA	-
torR	torR	-
torR	gadX	-
torR	yhiD	+
torR	hdeB	+
torR	hdeA	+
xylR	xylG	+
xylR	xylH	+
xylR	xylF	+
xylR	xylR	+
ydeO	mdtF	+
ydeO	mdtE	+
ydeO	gadE	+
