glrR	glmY	ihfB	hipA	hipB	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	rstA	rcsB	rcsA	fhlA	hyfR	gadE	ydeO	evgA	csgE	csgG	csgF	sra	yjbE	yjbF	yjbG	yjbH	tdcB	tdcC	mdtF	tdcF	tdcE	mdtE	tdcD	tdcG	ompF	osmB	wzb	rprA	wzc	wcaB	wza	wcaA	bdm	hyfA	sgbE	yiaO	yiaK	hyfI	hyfJ	ftsZ	focB	hyfG	yiaL	yiaN	hyfE	hyfB	sgbU	ftsA	hyfD	hyfC	lyxK	sgbH
-0.2586873876862228	0.0	0.0	-0.33870159784506704	-0.7885858346708119	0.0	0.0	0.0	0.0	0.0	0.0	-0.007761536864563823	-0.6115952446125448	-0.24267598916776478	0.0	0.0	0.0	0.8899508837580326	0.37372572960498635	-0.014747700764961388	0.0	0.1926660088381028	0.0	0.0	0.0	0.4179508369451391	0.03836727820021997	0.9062643239213442	0.0	0.0	0.0	0.7225261383901797	0.08426930610669532	0.0	0.0	0.0	-0.07771909143775702	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9454757439768167	0.0	0.0	0.0	0.0	0.7061136713383617	0.0	0.5657726419368644	0.0	0.5864155419780999	0.179787492215556	0.0	0.0	0.5105517085924325	0.0	0.0	0.0	0.38683740383158666	-0.19620476612628207	0.0
0.0	0.0	0.0	0.0	-0.19262217450886965	0.0	0.0	-0.636932618683204	0.0	-0.7807950186543167	-0.43026828300207853	0.0	0.0	-0.31955053680576384	0.0	0.0	0.0	0.0	0.0	0.399710774776362	-0.25733136978688614	0.0	0.0	0.3506722250491957	0.0	0.0	0.5936976480545659	0.0	0.0	0.0	0.04226334697498303	0.0	0.0	0.13754580497305324	0.0	0.0	0.0	0.0	0.0	0.5378629441330808	0.0	0.23361445974097717	0.0	0.0	0.0	0.0	0.0	0.2155214733818084	0.0	0.3726050149781527	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5158783500831154	0.0	0.0	0.0	0.0	0.21304233818507984	0.0
-0.5921639816369861	0.8353613894097632	0.0	0.0	-0.811597203835845	0.0	0.3649202789224457	0.0	0.0	0.0	-0.26899869181215763	0.0	0.0	0.0	0.0	0.0	0.930730962756857	0.0	0.0	0.6038447507944184	0.0	0.0	0.0	0.0	0.0	0.0	0.4560781000429947	0.15281123522988604	0.49191319810744827	0.0	0.0	0.0	0.0	0.09131556168693532	0.5241402419107588	0.0	0.0	0.7538827930200631	0.0	0.0	0.18243508663323119	0.3810281654494362	0.0	0.06797628767634491	0.2861012263553442	0.0	0.0	0.8729488611595243	0.0	0.0	0.6526319263131938	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22500047451602878	0.0	0.0	0.0	0.0
0.0	0.6036837147213644	-0.6014492495451123	-0.19160315344284917	-0.4213005290366709	0.9477514985235848	0.0	0.0	0.0	0.0	-0.3157332425471395	0.0	-0.42618499184027314	0.0	0.6822392148200168	0.4004770624870112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12226750543384056	0.0	0.0	0.5826471867287715	0.0	0.42974710681993966	0.0	0.12998608292011837	0.0	0.1385254002606658	0.14302446228946974	0.6203395895483526	0.0	0.0	0.0684945718474472	0.22233863279787264	0.0	0.0	0.0	0.18837721550421688	0.08283337263236502	0.0	0.6828479861768549	-0.1890821112319827	0.0	0.0	0.28355301675776856	0.0	0.25204638347270686	0.3207722767483104	0.0	0.23233036214850555	0.0	0.3942042107352476	0.0	0.0	0.8457245504555351	0.0	0.0	0.0	-0.4658251565415412
-0.9982220330275595	0.02365863645823064	-0.2681323883589357	0.3899974758160517	0.0	0.0	0.0	0.0	-0.11214494262821972	0.0	0.0	0.0	0.0	0.0	0.7365333392984911	0.06883278772697357	0.0	0.2908582637987676	0.29104087439532283	0.6006919693954514	0.0	0.0	-0.5369968237216564	0.0	0.6373781750317542	0.8640097489150244	0.2731931240080107	0.0	0.0	0.8202476201252444	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4154336779621001	0.0	0.0	0.0	0.5228708081185249	0.1843495595905439	0.0	0.0	0.0	0.0	0.2061280083168694	0.0	0.0	0.052434684962581565	0.0	0.9734862494892567	0.7768867337833316	0.0	0.6864664852743457	0.0	-0.41087250535404496	0.0	0.4853903698437524	0.0	0.0	0.0
-0.11665236041881144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.614814393222332	0.0	0.0	0.0	0.0	0.0	0.599626028986451	0.41394144937472804	0.0	0.29454750987014233	0.0	0.0	0.0	0.0	0.0	0.0	0.6672875085711152	0.0	0.0	0.0	0.9329520691616623	0.0	0.4465865265867295	0.0	0.0	0.0	0.19359936413918993	0.6895698871886956	0.0	0.0	0.0	0.0	0.7259709079614134	0.0	0.0	0.024009726187354325	0.0	0.0	0.0	0.0	0.0	0.21994189886889748	0.0	0.0	0.5102117839393626	0.0	0.06299886845024116	0.0	-4.740694369513021E-4	0.0	0.0	0.0
0.0	0.5006239669993645	0.0	0.0	0.0	0.8592378613291748	0.0	-0.8630718376953155	0.0	0.0	0.0	0.0	0.0	-0.04127576248720288	0.0	0.5540723060676506	0.0	0.0	0.0	0.0	0.0	-0.3806518176546091	0.018775761839842642	0.0	0.1598594882398723	0.0	0.05822657423710416	0.0	0.0	0.4793548444425119	0.0	0.011708039532180844	0.19173572067750372	0.46358960402693083	0.0	0.8235048524656868	-0.496710259700194	0.0	0.7550948621947821	0.0	0.0	0.0	0.9259777192264227	0.7684192192911611	0.7275821979953201	0.0	-0.3592314566485584	0.7857550745272547	-0.15031458961065625	0.0	0.1324666563516131	0.5921309804754217	0.05877795072678809	0.8506284059635489	0.49570577319144915	0.0	0.0	0.0	0.0	0.7580998580974585	0.0	0.1104328449178044	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.26407794715350086	0.0	0.0	0.0	0.0	0.0	-0.2965260979253799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08770486805832445	-0.48851758775776044	0.0	0.0	0.0	0.09044348101748119	0.0	0.12158532937575582	0.0	0.07072443935951513	0.30653539576823635	0.640784626776555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.710954599485885	0.0	0.740886686114165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15469321767814664	0.0	0.632835874356668	0.8585354398614853	0.20115935529946993	-0.14607031034796414	0.0	0.42447849137741606	-0.5006385250764918	0.0	0.0	0.0	-0.21638605763011381	0.0
0.0	0.3626508221160746	0.0	0.0	0.0	0.0	0.7736572827256989	0.0	-0.010077564977109432	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28915527940804525	-0.37044959945361094	0.2887827297697073	0.0	0.08135536364322703	0.0	0.4000308865251022	0.0	0.0	0.3234523344650537	0.0	0.5562602535535238	0.8187668390783928	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4596745883538055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.42913363396409665	0.0	0.1337661512290707	0.0	0.580885362135585	0.0	0.0	0.0	0.23567485973550484	0.5429264726865617	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.056665009319794804	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.42219640011899173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8616984593929906	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11498988781223018	0.0	-0.8867134563624859	0.0	0.0	0.1433072895235049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21381830907440783	0.0	0.8249827874025227	0.6411869341602198	0.19840877924355466	0.0	0.0	0.0	0.0	0.0	0.0	0.12023599624605663	0.0	0.0	0.568967847229496	0.0	0.0
