hupB	fis	mtlR	marR	marA	rob	putA	xylR	glcC	hupA	soxS	soxR	gadX	torR	rutR	gadW	nemR	gadE	ydeO	evgA	marB	mdtE	mdtF	hdeB	yhiD	hdeA	gadA	micF	gadB	fumC	gadC	zwf	dctR	slp	inaA	nfo	ygiA	ygiC	ygiB	tolC	acrA	acrB	sodA	fpr	gadY	rfaY	poxB	rfaZ	seqA	pqiB	pgm	nemA	pqiA	xylH	hdeD	purA	xylG	xylF	mtlA	mtlD	cadB	cadA	tyrP	ptsG
-0.7738858531229198	0.0	0.0	0.3930864983460727	0.0	-0.1741078847553581	0.0	0.0	0.0	0.0	0.0	-0.834874015301466	0.0	-0.18732161377556622	0.0	-0.769085788866505	0.0	0.0	0.09854557695123169	0.10757496160720104	0.0	0.622332808116564	0.0	0.2769251149818011	0.0	0.0	0.0	0.12719261170373128	0.0	0.18591108712151505	0.23982911007146746	0.5093079977949247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3615548492559338	0.0	0.0	0.0	0.0	0.521109335829196	0.0	-0.3981968951411545	0.0	0.0	-0.4897865310776979	0.0	0.07490104937541076	0.7822121668471437	0.0	0.0	-0.4594360775889601	0.0	0.0	0.37178157133504147	0.20406368456108676	-0.5323388013057411	0.0
-0.34531129081733525	-0.12055240175686777	-0.45179606322199106	0.0	0.0	-0.9627274798694998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.27294535492546856	-0.35690796351991594	0.0	0.0	0.0	0.0	0.0	0.9555892476552366	0.6000198695277588	0.0	0.0	0.5155672090437652	0.0	0.3688144391775952	0.3231654704977518	0.0	0.0	0.0	0.1016233930221303	0.0	0.5604257796547477	0.06977828620060333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3243820190930447	-0.2448935832362622	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.6678052521310747	0.0	0.11223456918715832	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	-0.21952387737110257	0.0	-0.2280351663382908	0.0	0.0	0.0	0.0	0.0	-0.6802657453808933	-0.5109392970334738	-0.6853555673733354	-0.7046867983881384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.013460085300105451	0.0	0.0	0.01053211012863383	0.0	0.0	0.0	0.0	0.0	-0.3105468579303554	0.0	0.0	0.7565670905092735	0.0	0.18528086297565521	0.0	0.0	0.0	-0.026567188038772817	0.0	0.0	0.0	0.0	0.7009465509129397	0.0	0.3411282220261073	0.0	-0.3098970667924732	0.8760353296672115	0.7147101712188382	0.0	0.6554785351978605	0.0	0.0	-0.1258204821497202	0.0	0.10477833988598881	0.0	0.0	0.0
0.0	0.0	-0.22317421156913042	0.0	-0.23516508328284658	0.0	-0.45747475002469146	0.015302397599239126	0.0	0.0	0.0	-0.8880565222352743	0.0	0.0	0.0	0.0	-0.0445623470004648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.3808295438451048	0.0	-0.46158573287539184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6221906327298944	0.9293057937646563	0.38668955186549614	-0.06325335817709306	0.0	0.6996380570155247	0.0	0.0	0.0	0.0	0.7707198136435026	0.0	0.0	0.5804221356322697	-0.9831187149975449	0.026306771986362942	0.0	0.0	0.8894526895743916	0.0	0.0	0.0	0.0	0.0	-0.2176020061597228	0.0	0.5056754602444112	0.0	0.0	0.0
-0.2177283875644207	0.0	0.0	0.0	0.18459980379302465	0.0	0.0	0.0	0.0	0.0	0.4178032984438205	0.0	0.0	0.0	0.0	0.0	-0.3914574214722961	0.0	0.16726994192483638	0.0	0.0	0.0	0.0	-0.18778345098535637	0.20380629804792738	0.0	-0.8417450631968677	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25726794449581347	0.0	0.2445643423740858	0.0	0.0	0.5804951544799978	0.0	0.0	0.0	0.0	0.9166029510890967	0.0	0.0	0.1650412711457471	0.0	0.0	0.0	0.30612883013799186	0.0	-0.9062125671189278	0.0	0.0	0.0	0.0	-0.35143721081240775
0.0	0.0	0.0	0.0	0.0	-0.554924366530031	0.0	0.0	0.0	0.0	0.0	-0.17361011006869376	0.0	0.0	-0.5080104300286621	0.0	0.0	0.0	0.0	0.26489208917398566	0.0	0.48132328993838414	0.0	0.0	0.0	-0.11543036305043686	-0.03748165792785585	0.0	0.0	0.6759836718325303	0.0	0.0	0.0	-0.2703406644720665	0.0	0.3899304261902625	0.18665467504579614	0.0	-0.010584191872017354	0.5460136637367918	0.1691225959983444	0.0	-0.05789263261789727	0.0	0.343174687581616	0.0	0.0	0.0	-0.2840463405009359	0.0	-0.062006122432649136	0.0	0.18095799397240678	0.0	0.0	0.8663647393474345	0.0	0.0	-0.26788010518066585	0.0	0.0	0.0	-0.13618578272871673	0.0
0.0	0.0	-0.22536255209706724	0.0	0.0	0.0	0.0	0.16954502841437258	0.0	0.2988415425256814	0.5551583261641526	-0.5656338192056865	0.0	0.0	0.0	0.0	0.0	0.0	0.5458109819262734	0.0	0.0	0.0	0.36294169294925194	0.0	0.0	0.0	-0.6184079346712679	0.0	0.0	0.5329327597633735	0.0	0.9330704317242936	0.0	0.0	0.30173469112544404	0.0	0.08802907889876554	0.6692042523685868	0.0	0.0	0.5238545124483085	0.0	0.4207769125296707	0.0	0.4935383086507344	0.0	0.7621458375422931	0.0	-0.8377554211765528	0.0968717060388899	-0.4830678254365921	0.0	0.29568494694802266	0.3930464190206189	0.047277253619809056	-0.006376458819770305	0.0	0.0	0.0	0.0	0.0	0.12301260849720048	0.0	0.29182121925131677
-0.7644789924379438	-0.3666807874105871	-0.8520714230835438	0.5866057369614812	0.0	-0.16785317147150636	-0.20518788208761835	0.0	0.0	0.8029953557611431	0.0	-0.8459890249650925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.18798724521580923	0.0	0.0	0.0	0.8859367445462183	0.0	0.0	-0.4515132488360153	0.0	0.0	0.0	0.0	0.0	0.07862399845735553	0.0	0.0	0.0	0.0	0.9222386587565066	0.0	0.0	0.0	0.0	0.0	0.0	-0.8912454985547811	0.0	0.19305513870465854	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	-0.4144692034460604	0.0	-0.5407831915330473	-0.22390125808306038	0.0	0.0	-0.028062559431418777	0.0	0.0	0.0	0.2913243780999444	0.0	0.0	0.0	0.0	0.0	0.22446176809514676	0.0	0.6521892123953452	0.41629305390838667	0.0	0.0	-0.5502964749851551	0.0	0.0	0.0	0.0	0.11696763479865946	0.0	0.0	0.0	0.0	0.0	0.5428196909377629	0.009067794766091208	0.0	0.0	-0.03330041376905005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.1212506506126374	0.0	-0.9801380876451731	0.0	0.0	0.8910659755355377	0.0	0.0	0.13074711775533254	-0.003949376951694061	-0.7116478946991265	-0.7725569282192737	0.0	0.0	0.0	0.0
-0.42070708563551307	0.0	0.0	0.2905398672203394	0.0	0.0	0.0	0.0	0.0	0.20256626765103888	0.0	0.0	0.0	0.0	0.0	0.0	-0.30309033929370344	0.8120021188588938	0.1086972314331195	0.0	0.0	0.0	0.0	0.0	-0.24605372994330788	0.2233339931659789	0.0	0.009727544747375104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2766349869703878	0.0	0.0	0.0	0.0	0.0	0.0	0.09096425153922752	0.3076332246367955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.26287214644253254	0.13813908960192797	0.644103173979355	0.0	0.0
