betI	arcA	lldR	xylR	gadX	torR	rutR	gadW	nemR	gadE	ydeO	evgA	rcsA	csgD	rcsB	rstA	ompR	bolA	phoP	treR	mdtE	mdtF	csgE	csgG	csgF	gadA	hdeA	yhiD	hdeB	rutF	rutE	rutA	rutG	rutD	rutB	rutC	gadC	cadA	gadB	fadL	cadB	sra	wza	wcaA	wzb	wzc	osmB	nemA	lldP	wcaB	betA	betB	lldD	rprA	bdm	betT	gadY	treB	hdeD	slp	treC	dctR	yjbE	yjbF
-0.9797277830075473	0.0	0.0	0.0	0.0	-0.2472489655483514	-0.44149640994146466	0.19007916930761998	0.0	0.4008963963277208	0.0	0.0	0.0	0.0	-0.1610767301172018	0.8347295487830093	0.0	0.0	0.0	0.0	0.2499539921782291	0.20071599414448238	0.0	0.0	0.0	0.24006883931180556	0.0	0.0	0.0	0.0	0.0	0.6768365625018365	0.0	0.1440661460767102	0.00425463083024713	0.0	0.0	0.0	0.0	0.0	0.45640195398417327	0.0	0.0	-0.04832702335399187	0.0	0.0	0.954286487508916	0.0	0.0	0.0	0.0	0.0	-0.08803271944634616	0.8751771223382417	0.0	0.0	0.4437208849192323	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	-0.16647350322455168	0.0	0.0	0.0	-0.5983071078080684	0.0	0.0	0.0	0.13818900364260545	0.0	0.590149195574058	0.6869304421910725	-0.46881203794028137	0.0	0.30162524525724854	0.0	-0.16762992180883884	0.0	-0.5433008107356727	0.0	0.0	-0.4044055700478745	0.0	-0.5576759087580986	0.0	0.02577080775786357	0.0	0.0	0.45042126579878355	0.0	0.0	0.0	-0.5639247047108996	0.05067058565850946	0.0	0.0	0.13427002512260494	0.12357060762618588	-0.3153268154710531	0.0	0.0	0.0	0.0	0.0	0.0	0.30921849907969745	-0.7773778669070452	0.0	0.0	0.0	0.0	-0.39625146333128214	0.0	0.5936694145403077	0.0	0.7493090108689577	-0.13473074210761715	0.0	0.0	0.3811451355276772	0.2964767974367383	0.646343146563137	0.0
0.0	-0.8099243985489011	-0.4928686150815338	0.8877480966477332	0.0	0.0	0.0	-0.003605785819917273	0.0	0.0	0.0	0.0	0.10315401708648424	-0.4804544483601627	0.0	0.8477670718049308	0.0	0.0	0.0	0.0	0.0	0.23395220787140525	0.03519337399027822	-0.1378782328683883	0.0	0.0	0.2016989960129203	0.0	0.0	0.0	0.4888061078019273	0.2513892021222152	0.0	0.0	0.0	0.14634354376774164	0.0	0.0	0.0	0.0	0.2707882773113719	0.0	0.0	0.0	0.0	0.14281222138572486	0.0	0.0	-0.8848030662629753	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
-0.8116595887113363	-0.2782888279762119	0.0	0.0	0.0	0.0	-0.9087206942494959	-0.16144523587378795	-0.01618311833590269	0.0	0.0	0.7485821046287396	0.0	-0.18716927755731616	0.0	0.0	0.0	0.0	0.0	-0.48060699738562107	0.8350718335504955	0.0	0.0	-0.4097341187298298	-0.5325225116412885	0.0	0.0	0.14086547208443467	0.0	0.7681103355783734	-0.20308080453092042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1225950469220003	0.6864915988462374	0.0	0.7479043807521245	0.0	0.0	0.8774051931250845	0.0	0.0	-0.18390756798908114	0.0	0.6826352952248623	0.0	0.0	0.0	0.0	0.26975795430756305	-0.4516308717148236	0.0	0.0	0.5535012841001414
0.0	0.0	0.0	0.0	0.0	0.0	-0.3803583453409374	-0.2236701501936012	-0.5970270549878478	0.8958967815413641	0.0	0.543651693675501	0.0	0.0	-0.20284832594916224	0.03425246384643521	0.0	0.0	0.0	0.0	0.0	0.08628732260192729	0.0	0.0	0.0	0.0	0.43234346842196003	0.440437421607377	0.0	0.0	0.0	0.0	0.16763444293536722	0.0	0.0	0.5627573548031959	0.0	0.0	0.0	0.0	0.0	-0.0621453081287473	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.36321287997998297	0.0	-0.756706760963425	0.9352428837796066	0.0	0.0	0.0	0.0	0.0	0.9436956601186762	-0.08892796744572434	0.8967157679175976	0.0	0.8676708400026225
-0.8178737938869745	0.0	0.0	0.5539649252752451	0.0	0.0	0.0	0.0	-0.953339986037463	0.0	0.0	0.0	0.6294855996587954	0.0	-0.8582396099809557	0.06524560787432399	0.0	0.0	-0.4171854006126523	0.0	0.0	0.0	0.0	0.0	-0.3353641866434164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.4067405962216517	0.6880534187572065	-0.2513313571738274	0.0	0.0	0.0	0.7969202115648708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.34324385365471244	0.0	-0.45352660515345633	0.0	0.0	0.0	0.2060022975984236	0.0	0.294247597986898	0.1819557649739958	0.5369602945678524	0.0	-0.4716033376471928	0.8932314829466882	0.0	0.5494940757062547
0.0	0.0	0.0	0.0	0.0	-0.2234851038083434	-0.6584186919499189	0.0	-0.542909000068903	0.0	0.7883246495074108	0.49088074773347173	0.0	0.0	0.0	0.3120943491877666	0.0	0.0	-0.5024202591739595	0.0	0.0	0.0	0.27529895848691044	0.0	0.0	0.0	0.0	0.0	0.2850708497302296	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.08076423801869587	0.0	0.0	-0.8613505137618631	0.0	0.0	0.0	-0.565237786155194	-0.31642381683923304	0.0	0.6159176451820155	-0.7525606965646148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
-0.29859315790235996	-0.0015393132343888283	0.0	0.0	-0.171858447463477	0.0	-0.09742639982141554	0.0	0.0	0.08876295371721855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.21811526836061756	0.0	0.0	0.32767701419868195	0.0	0.0	0.10381480671522396	-0.05986131259925187	0.0	-0.2712286756670883	0.0	0.0	0.0	-0.4252770926101793	0.0	0.0	-0.3115344089485734	0.6976221824024051	0.0	0.6466002166325555	0.6392872012967243	0.7561185045320323	-0.4007290983572602	0.0	0.0	0.0	0.0	0.0	0.0	0.8647727621919682	0.0	0.0	0.1889553756643958	0.0	0.0	0.0	0.0	0.0	0.0
0.0	-0.5245294156484306	-0.5556809091940522	0.2719749717945842	0.0	0.0	0.0	0.0	0.0	0.47784324253718724	0.0	0.0	0.3048192523041449	0.0	-0.08681425196118653	0.0	0.0	0.0	-0.047372483648359776	-0.8319435506127775	0.06982441477247836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.37033636046748963	0.0	0.0	0.0	0.0	-0.4039183771237731	0.0	0.0	0.0	0.8047360487239381	0.0	0.0	0.2157880689169994	0.0	-0.7030866318382323	0.4118003460608427	-0.8171013318933547	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30329623878627215	0.0	0.2969877489408496	0.19212523905616435	0.0
-0.5647677332162857	0.0	-0.8062248113565147	0.0	0.21741503165174092	0.0	0.0	0.0	-0.8123178570531309	0.0	0.0	0.7598132187852839	0.0	0.0	-0.13969431910663843	0.0	0.0	-0.9774686337914318	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5908415645217169	0.0	0.23212885787447418	0.0	0.703199785594467	0.0	0.0	0.0	0.0	0.0	0.24065552086911318	-0.3372962310674329	-0.7843341135885566	0.0	0.20382280414625709	-0.037134909214806604	0.9240730489095619	0.0	-0.10127509145047514	0.35060326891613813	0.0	-0.6626376572530717	0.0	0.0	-0.8473300319164991	0.0	0.0	0.6848832084997764	-0.7692870246246457	0.0	0.0	0.8380396737296723	0.585319729891337	0.010152629837594296	0.0	0.709416346038321	0.6739563114252203
