lldR	arcA	betI	xylR	gadX	torR	rutR	gadW	nemR	gadE	ydeO	evgA	rcsA	csgD	rcsB	rstA	ompR	bolA	phoP	treR	mdtE	mdtF	csgE	csgG	csgF	gadA	yhiD	hdeB	hdeA	rutB	rutG	rutC	rutE	rutF	rutA	rutD	cadB	gadB	fadL	cadA	gadC	sra	rprA	nemA	wcaB	wza	lldP	osmB	betT	betB	wcaA	wzc	gadY	wzb	betA	lldD	bdm	treC	slp	hdeD	treB	dctR	rpoS	yjbF
-0.38598219002597034	0.0	0.0	0.0	0.4606199610895889	-0.42555856867693365	0.0	0.0	0.0	0.4999068844730837	0.6779040254503165	0.0	0.5784329430262439	-0.43470738898031414	0.0	0.2124217727500808	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45281092002103057	-0.12531438221326585	0.0	0.663081586372025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2418746373486154	0.0	0.34621429816257676	-0.1833428212184215	0.0	-0.28300111710913334	0.0	0.0	0.0	0.0	0.0	0.854754380765003	0.0	0.7325191358135646	-0.5043027088977396	0.0	0.0	0.0	0.0	0.4199883490574888	-0.02028608345426619	-0.4832828890066594	0.0	0.10672964288525977	0.9200596473732973	0.0	0.0	0.3038246274209226	-0.14146815456088324	0.8869572382496839
0.0	-0.019287307281047106	0.0	0.0	0.0	0.0	-0.30704774078913033	0.0	0.0	0.0	0.0	0.0	0.0	-0.48562207142822444	-0.13258507032878697	0.0	0.0	-0.27938587963581085	0.0	-0.16131355403922498	0.0	0.0	0.26102555690777984	0.0	0.0	0.48216377137109495	0.9456149470172	0.0	0.0	0.0	0.0	0.32673591880641156	0.7111646229094664	0.0	0.0	0.0	0.25589653896537146	-0.028739351334398422	0.0	0.0	0.7425631989790232	0.07829642725889727	0.0	0.0	0.0	0.0	0.0	0.0	-0.9070595209486783	-0.7608247566968203	0.0	0.0	0.522685473085373	0.5029406607856385	0.0	0.0	0.1025294111196101	0.2812125784591655	0.7436999205587441	0.16920885363551816	0.0	0.0	0.0	0.0
-0.3364444454200566	0.0	0.0	0.6434900864185423	0.0	0.0	0.0	-0.4001911715604365	0.0	0.580375411048798	0.0	0.0	0.0	0.0	-0.28516929782927036	0.07787510634398578	-0.6988753981422633	0.0	-0.8338346732780337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20801641419438582	0.0	0.0	0.6021043201240479	0.8334488896988712	0.0	0.0	0.2854526745878404	-0.17746035730785092	0.0	0.0	0.21788413717192753	0.15038608456439656	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49134922258158836	0.0	-0.6956344705540687	0.0	0.0	0.41117646145578574	0.0	0.0	0.0	-0.020863873247165876	0.0
0.0	-0.5292789463419467	-0.8796365791931748	0.0	-0.22077475190987417	0.0	0.0	0.0	-0.9882454667240381	0.0	0.0	0.0	0.5067064564737372	0.0	-0.2951692300848663	0.0	-0.79309366713278	0.0	-0.12433574767783284	0.0	0.11865554618995947	0.0	0.0	0.0	0.0	0.0	0.14817007259643786	0.4825607523936194	0.0	0.0	0.0	0.0	0.0	0.007618495894852195	0.0	0.0	0.0	0.0	-0.02869236771336159	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.3829099943395704	0.0	-0.5761025589890778	0.0	0.9237704803031443	0.0	0.0	0.9357415777405135	0.0	0.0	0.0	0.0	0.5344161772722388	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.38636339572258294	0.0	0.0	0.0	0.0	0.0	-0.7846629074774683	0.0	0.0	-0.25306968941839847	-0.42051682999311063	-0.20641741210697706	0.0	0.6327374314534586	0.0	0.0	0.0	0.8401945445211784	0.0	0.0	-0.03484809125934252	0.0	0.0	0.0	0.0	-0.45100299594311377	0.23422139144614484	0.5744180283108832	0.0	0.6701754471234916	-0.3218936750199646	0.8339610036727231	0.8002095142142892	0.0	0.0	0.0	0.0	0.0	0.3288887235610034	0.7381260034153158	0.0	-0.4487338229082525	-0.28134877351112664	0.4296869571872205	0.0	0.53403114221003	0.0	0.0	0.0	-0.05917237309377332	-0.027628442218324015
-0.12915671174414456	-0.6847335670609027	0.0	0.0	-0.35139144427036473	-0.6352457841858268	0.0	0.0	0.0	0.23179480825950033	0.0	0.0	0.0	0.0	-0.03271263535134494	0.26984373827463504	-0.4693218874745071	-0.45314521505497396	0.0	0.0	0.0	0.0	0.0	0.0	-0.375789887114526	0.46606301175311066	0.0	0.09420165532821537	0.8083197947971197	0.0	0.0	0.0	0.787026695084835	0.0	0.0	0.0	0.0	-0.48337712164258007	0.3946071073939804	0.0	0.0	0.0	0.0	-0.09007605374790728	0.0	0.08523390337322356	-0.8963413692545146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.05057106453321181	0.0	0.0	0.0	0.8794728895864095	0.3063887510764257	0.0
0.0	-0.3966091407928616	0.0	0.0	0.0	0.0	-0.8700561705045402	0.0	-0.5665966835804284	0.0	0.0	0.09041064040812341	0.0	0.0	0.0	0.0	0.0	-0.5124813101720065	-0.2530950161162764	-0.2887930409051478	0.0	0.0	0.0	0.0	0.2620203587402541	0.0	0.0	0.0	0.5725408520929189	0.19112952769142078	0.0	0.0	0.7798812176260004	0.0	0.25528605518493874	0.0	0.0	0.17762703539582547	-0.035258325276359526	0.0	0.0	0.0	0.0	0.0	0.0	0.7672430904345632	-0.011564633576199412	0.6287364242629713	0.0	-0.5437640245072544	0.01744376214039913	0.0	0.7797282666424209	0.0	-0.325315446825698	0.0	0.0	-0.5198895028545638	0.0	0.0	-0.0038406511730936232	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	-0.4229278105776757	0.0	0.0	0.6757235021463466	0.0	0.30675035686309127	0.0	-0.28245095047168434	0.0	0.0	0.0	0.0	0.0	-0.29233394120819867	0.0	0.9870229216119819	0.0	0.004271740271243718	0.43238468926297013	-0.3378444683377459	0.0	0.2018583246655178	0.0	0.0	0.0	-0.3121605329909248	0.0	0.0	0.39066179006923063	0.0836123474888332	0.0	0.0	-0.14415844482688567	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6737098791432141	0.3994805255713161	0.0	0.0	0.0	-0.5868353981059045	0.0	-0.2096741449306836	0.5564495944039906	0.1523649982545062	0.4342308961358431	0.5807347357022221	-0.4372056888566508	0.42059876146560365
-0.4731557567138225	-0.2237811500672251	-0.7240625557024032	0.0	0.0	0.0	-0.028130932478234172	-0.36500684218481183	0.0	0.0	0.0	0.45882653160097686	0.21949033747118643	0.0	0.0	0.0	0.0	0.0	-0.7544399376492947	-0.5807785254437476	0.185762126784514	0.7906876978757404	0.0	0.0	-0.24685208832948025	0.0	0.0	0.7396464598979217	0.0	0.0	0.0	0.0	0.0	0.0	0.7411940896753602	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9092855004075854	-0.20845005754381418	0.0	0.45535350369718375	-0.01899241772480309	0.33685562108025013	-0.5772176205646247	0.0	0.6622227784041821	0.0	0.0	0.0	-0.06568246078677475	-0.7752610130701214	0.0	0.0	0.0	0.0	0.4163187301755461	0.0	0.0	0.0
-0.16841566166840494	0.0	0.0	0.0	0.0	0.0	-0.0473503980319947	0.0	-0.8367534277494997	0.0	0.0	0.0	0.0	0.0	-0.3222225047647953	0.0	-0.9972633633296937	-0.9418793709482998	-0.5754926656372845	-0.7071759938262403	0.0	0.0	0.09203713069183317	0.0	0.0	0.0	0.0	0.38063482471363363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9138519305284895	-0.09449669648523906	0.0	0.0	-0.4272918265115455	0.550699103117931	0.9062365881331746	0.0	0.0	0.7395382572230141	0.0	-0.1348627801053226	0.44375350559443294	0.0	0.0	0.0	0.1370025602443363	0.0	0.0	0.0	-0.3198780252132565	0.0	0.0	0.0	0.0	0.0	0.0	-0.25440639193739434	0.0
