dicA	ydfD	dicB	alaS	tdh	lrp	yeiL	stpA	malT	dgsA	gadE	ydeO	evgA	gadW	gadX	rutR	nemR	torR	rcsA	csgD	mdtE	mdtF	hdeA	hdeB	yhiD	gadA	gadB	gadC	nemA	gadY	hdeD	slp	dctR	cadA	cadB	osmC	csgG	csgF	csgE	gltD	gltB	gltF	livK	livM	iraP	asnB	yfdX	lon	lysU	ydeP	livH	sdaA	kbl	livJ	livF	malZ	gnd	adrA	ybaT	yegR	ybaS	yneN	pepD	yojI
0.0	0.0	-0.21478251181542873	0.0	0.0	-0.4940859612543136	0.24585587366065742	0.0	3.3886271645933164E-4	0.0	0.0	0.0	0.4678043347025656	0.0	0.0	-0.8537460758816451	0.0	0.0	0.0	-0.305662125365912	0.0	0.11458082980507153	-0.023662495931520533	0.0	0.17328157803810523	0.0	0.0	0.0	-0.6598251035902649	0.4669456684768162	0.9613293145550583	0.8033659143976143	0.0	0.0	0.0	0.6045254687777002	0.0	-0.6219190193805844	0.0	0.0	0.0	0.05066424274709256	-0.3286273702979088	0.0	0.0	0.8121927111089995	0.0	0.19103158522083197	0.0	0.0	-0.05818228889256716	0.0	0.0	0.0	-0.5147268122527748	0.0	0.6013059944032991	0.0	0.0	0.8795615476178277	0.0	0.08991206310966454	0.0	0.0
-0.8665846651419997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.4868093782570213	0.0	0.0	0.0	0.0	0.27980367646561055	0.0	0.0	0.0	0.0	0.053686724493176685	0.521991364610015	0.7019569600842251	0.0	0.0	0.0	0.0	0.0	0.9461692035523858	0.0	0.0	0.0	0.0	0.0	0.0	0.8219669660865496	0.0	0.0	-0.5527862533926964	0.3265246065070396	0.6440875954653105	0.0	0.0	0.0	0.0	0.0	0.007849357617722947	0.0957388772935013	0.2623217641437683	0.0	0.0	0.0	-0.8569043481256813	0.0	-0.4631266619544476	-0.8013632714282721	0.8667615541962892	0.05173887634904331	0.0	0.0	0.8065751145681638	0.8519947204456356	0.3593336997022613	-0.2139107547700405	0.0
0.0	0.0	-0.3579235547222197	-0.21331295417621732	0.0	0.0	0.0	0.0	0.029431941985391674	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.42946001375094056	0.5843714202382528	-0.5191735108551672	0.0	0.3039571574799075	0.0	0.0	0.0	0.0	0.4979060494022721	0.0	0.0	0.6557001155141703	0.7749394333688711	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10918810513694019	0.0	-0.9782361197285354	0.0	0.0	0.0	0.390267983085129	0.0	0.0	0.0	-0.7560014517512172	0.08831793912225978	0.0	0.0	0.0	0.0	0.0	0.8325761704174541	0.4331608137203652	0.3964133899842081	0.0	-0.09925486333668232	0.0
0.0	0.0	0.0	0.0	0.4995157654409847	0.0	0.40663801620296003	0.0	0.0	0.0	0.0	0.0	0.6668340448463702	0.0	0.0	0.0	-0.0692208029795438	-0.2063160294201225	0.0	0.0	0.0	0.6676378677974745	0.0	-0.27720329449081127	0.29610904321841286	0.0	0.014961352027794118	0.6879120710631516	0.0	0.0	0.0	0.0	0.0	0.8405976405451637	0.0	0.0	0.4360942273832978	-0.7549637728370726	-0.4831749346835995	0.0	0.02307095700892408	0.0	-0.058791478630155325	0.0	0.0	0.5774353081972172	0.0	0.0	0.0	0.0	0.0	-0.3432594870682806	0.38367438949184135	-0.3640895050484687	-0.468182775657624	0.8802706901224315	0.0	0.5116550675250967	0.5389761099060737	0.0	0.07769632518260455	0.0	0.0	0.0
0.0	0.0	0.0	-0.7579498756676912	0.08104238156355828	0.0	0.0	-0.31025758901908307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.06847213790751994	0.0	0.0	0.29844663167380925	0.0	0.0	0.11639154394188064	0.10687598163084738	0.036124144405710656	-0.25784723328591	-0.09050089930061761	0.0	0.0	0.0	0.6763366239882967	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.21513282461091876	0.46190578031516727	0.0	0.0	0.0	0.0	0.0	0.0	0.8687623493053784	0.0	0.0	-0.09660852421075106	0.0	-0.8010588034521788	0.0	0.9333984842943551	0.0	-0.6176000211853534	0.30091822559553977	0.0	0.0	-0.04088064111492408	0.0	0.2102326940928278	0.0	-0.3698151702992618	-0.06727720041784388
-0.6516969264484942	0.0	-0.6955508743412793	0.0	0.5388622303505978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7226280390271979	0.37497130938836476	0.0	0.0	0.0	-0.3407956319290078	0.0	0.0	0.0	0.0	0.0	0.19072080893881832	0.0	0.16826624638313473	0.0	0.0	0.0	-0.6517093947622925	0.0	0.13459101209481864	0.0	0.9252851001628134	-0.22679665056057274	0.0	0.27125471752280966	0.0	0.0	0.43078289880103204	0.0	0.0	0.0	0.0	0.37373194545047	0.0	0.0	0.03537899132426675	0.0	0.0	0.0	0.0	0.0	0.05213892496467969	0.0	0.48158249152799204
0.0	0.0	0.0	0.0	0.0	-0.11930148233659565	0.049910946027848735	0.5360267769608715	0.0	0.0	0.0	0.0	0.0	-0.1084120781160891	0.0	0.0	-0.45017051021568477	0.0	0.7387833710853868	0.0	0.0	0.0	0.0	-0.5830295160835356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5633339490670242	0.0	0.0	0.0	0.0	0.0	-0.11278487525717262	0.0	0.0	0.0	-0.5609689094126225	0.0	0.0	0.0	0.0	0.0	-0.13135917973704636	0.0	0.0	0.0	-0.011972942347585985	-0.8252846612595022	0.0	0.0	0.0	0.8532471593592693	0.0	0.0	0.0	0.5885579722402378	0.0	0.0
-0.44827033090405166	-0.3429034783039242	0.0	0.0	0.0	0.0	0.5110147027070707	0.5382408131443033	0.0	0.0	0.7827997632038404	0.01752893855474796	0.11496444849170681	-0.32552051707170904	0.0	-0.7401465191505849	0.0	0.0	0.0	0.0	-0.03723816019612679	0.0	0.0	-0.10142523124383096	0.0	0.0	0.0	0.0	0.0	0.1187872235003821	0.03950832660777309	0.0	0.0	0.0	0.0	0.12686158576963738	0.0	-0.19664093642495573	0.4020698266772097	0.0	0.0	0.0	-0.6964231617748737	0.0	0.5072899541459479	0.0	0.0	0.0	-0.04533987422473729	0.0	-0.08087006467394531	0.0	0.0	-0.9055181327275932	0.0	0.0	0.0	0.0	0.0	0.6012253020512212	0.0	0.0	0.0	0.5309587513187255
0.0	0.0	0.0	-0.6972955644596368	0.1740270143853119	0.0	0.6046689492422229	0.28667321075387986	0.33295087057282835	-0.6745807330589741	0.257287095598187	0.0	0.0	-0.2508417849894613	0.4539455801063129	0.0	-0.2908180891536176	-0.18778743967413902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6407175552960016	0.0	0.6649207977424543	0.0	0.18886793418453346	0.0	0.0	0.2828462424880793	0.6792899153290202	0.7295629763219896	-0.6855038502253592	0.0	0.06821773728499787	0.0	0.0	0.0	-0.04274302232079208	0.5718871933054535	-0.21511125331744552	-0.589548088144511	0.0	-0.2142908254172653	0.0	0.0	0.7994883947192991	0.09248065945062833	0.5800497427982949	0.09740733630902053	0.0	0.0	0.0	0.0
0.0	-0.19084821920841932	0.0	-0.8114980969112366	0.0	0.0	0.0	0.03676110897847207	0.0	0.0	0.0	0.0	0.6785207966981822	0.0	0.0	-0.1939131433609873	-0.47025317745283246	0.0	0.0	-0.2596026021224549	0.2381686355905669	0.45260516013049623	0.0	0.0	0.2632358653175025	0.0	0.3041682675628269	0.0	0.0	0.18615220140590885	0.0	0.0	0.0	0.0	0.1690325710768979	0.0	0.0	0.0	0.0	0.0	0.0	0.6631260581024382	0.0	-0.8966875481419265	0.8605206619590022	0.0	0.31597532237212755	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4787809123991042	0.19678901016035324	0.0	0.8910887146768831	0.0	0.0	0.012679296446008896	0.0	0.21960514910494047
