bolA	ompR	csgD	rstA	rcsB	rcsA	flhD	hdfR	flhC	qseB	lrhA	gadE	ydeO	evgA	gadW	gadX	rutR	nemR	torR	phoP	mdtE	mdtF	csgF	csgE	csgG	hdeA	hdeB	yhiD	gadA	gadB	gadC	sra	flgH	fliM	ppdA	flgM	fliT	fliF	osmB	fliK	wcaB	ygdB	gltJ	flgA	flgE	wzb	fliJ	flgG	wzc	wcaA	fliQ	fliE	fliG	recC	flgC	fliO	flgD	ygbK	fliR	fliN	yhjH	fliP	gltI	flgF
-0.591929996619001	0.0	0.0	0.0	0.0	0.0	-0.6807511488441378	-0.20392169849947095	0.0	0.0	0.0	0.0	-0.050053571851938844	0.0	0.0	0.0	-0.6907523253466934	0.0	-0.20510818995535374	0.0	0.0	0.0	0.0	0.40308815763920003	0.0	0.0	0.0	0.0	0.0	0.148940073164733	0.0	0.0	0.0	0.8750608582566948	0.0	0.0	0.0	0.0	0.49688481289178643	0.54232573037973	0.0	0.0	0.0	0.0	0.0	0.0	0.20714711398409058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8633777063764507	0.0	0.0	0.0	0.0	0.0	0.0
0.0	-0.26602622494101524	-0.31579252262398616	0.0	-0.9007241583894938	0.0	0.0	0.0	-0.20404034885865519	0.0	0.0	0.0	0.0	0.0	-0.09479565476067364	0.0	0.0	-0.49908486753702164	-0.49856346962042153	0.0	0.41365037145577266	0.0	-0.31773264217190444	0.0	0.0	0.0	0.0	0.0	0.0	0.5576039176216292	0.12284316489213848	0.0	0.5170082922902933	0.0	0.0	0.18675543227682181	0.0	0.0	0.36549097119115803	0.0	0.0	0.0	0.4700002420289257	0.0	0.0	0.0	0.5901568927854424	0.31841185105543673	0.0	0.9273241961519153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14991486211827637	0.49505777134847284	0.0	0.0	0.7198065588373279	0.0	0.07531748595700488
0.0	0.0	0.0	0.10800821556051984	0.0	0.0	0.0	-0.1742883448023349	-0.39040358350899884	0.0	0.0	0.0	0.9090682910401227	0.0	0.0	0.017850062605187733	-0.6700646930839866	0.0	-0.8568089748732746	0.0	0.7523626201741387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.038856860145724426	0.0	0.0	0.0	0.0	-0.037235250317214114	0.0	0.5088558502610079	0.0	0.1125015240895356	0.0	0.0	0.0	0.0	0.0	0.02959922166132678	0.0	0.0	0.8867038237540902	0.039610456263518154	0.0	0.0	0.5277361147545946	0.6753660514163494	0.0	0.5307250367519927	0.0	0.11061146030489746	0.8285988209724466	0.0	0.0	0.0	0.0
-0.7400539368391037	0.0	0.0	0.0	0.0	0.0	-0.7948757498525083	0.0	-0.027090380995617003	0.0	0.7419045823508017	0.0966707560054322	0.0	0.0	-0.2722672384697944	0.0	-0.639929901342839	0.0	-0.7946101331617683	0.0	0.26297039966583147	0.07208328043018518	-0.010494146961718798	0.0	0.0	0.0	-0.01041960051512935	0.0	-0.5067760941342272	0.0	0.0	0.24248723116496862	0.0	0.0	0.0	0.07571870740020939	0.6088589147266913	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43772521017373855	0.0	0.0	0.3179710942650968	0.9094404978204944	0.8478979126694531	0.0	0.0	0.0	0.7844112826951516	0.7195483009940654	0.0	0.0	0.0	0.0	0.06891383709870676	0.3022192256940622	0.0	0.0	0.0
0.0	0.0	0.0	0.49909373664570766	0.0	0.03284623866820399	0.0	0.0	0.2386808119685494	0.0	0.0	0.015495217527013019	0.0	0.17081701452123887	-0.3213982032611966	-0.3303970258867289	0.0	-0.3207746895495802	0.0	0.0	0.0	0.7921894551338726	-0.4712762553244829	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45098421362953545	0.0	0.0	0.41308278439193574	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20756454628776558	0.0	0.0	0.0	0.0	0.0	0.323812434595075	0.0	0.0	0.0	0.7807267462773562	0.5383491809522283	0.2099999040324116	0.015257334004234702	0.0	0.0	0.5802985433611607	0.7578381892229572	0.0
0.0	0.0	-0.08184498245626703	0.0	-0.704507656628266	0.3244766818537719	0.0	-0.936767608160153	0.0	0.0	0.32281823105859386	0.0	0.0	0.0	-0.567588911857456	0.0	0.0	0.0	-0.20176844275556505	0.0	0.39182791844494536	0.0	-0.407634716713801	0.12366075149394029	0.0	0.0	0.0	0.6490691379034309	0.0	0.0	0.0	0.0	0.6963211936288557	0.0	0.0	0.025137842628008812	0.0	0.0	0.6163648749350807	0.0	0.0	0.0	0.0	0.0	0.8206310615248358	0.0	0.0	0.0	0.0	0.3954391214675189	0.6443943724109439	0.0	0.23908419599568065	0.0	0.34498649222354294	0.0	0.7568395489403528	0.0	0.951131248747077	0.0	0.9068966539526452	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.7026536930065013	0.0	-0.7334470690693706	0.0	0.0	0.0	0.0	0.0726150385681392	0.0	0.0	-0.3184234499649997	0.0	0.0	0.0	0.0	0.6199278706639995	0.94348600251508	0.0	-0.2807831984327043	0.0	0.0	0.6196672305348643	0.6858160768491565	0.0	0.0	0.0	0.0	0.0	0.0	0.1932965550813785	0.0	0.05780989155852975	0.18150382748356708	0.0	0.0	0.0	0.0	0.0	0.0	0.6787789290144419	0.0	0.0	0.858652998912596	0.0	0.0	0.8964682834296135	0.0	0.0	0.8459081642304284	0.0	0.0	0.37347841891884026	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	-0.7630358354654163	-0.26768141449429095	0.0	0.0	0.0	0.34427735803716975	0.0	0.0	-0.5123288359027356	0.0	0.0	-0.7174020877573639	0.0	0.0	0.0	0.0	-0.6650225264020264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21388582469607212	0.0	0.0	0.0	0.0	0.8224176250260199	0.6383693754322133	0.7989872490894641	0.23125443857040062	0.0	0.018873905210364736	0.0	0.0	0.0	0.0	0.8955072145773851	0.0	0.0	0.0	-0.004026276612657538	0.0	0.38442817837677123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8731721453373961
-0.8519409482832998	0.0	0.0	0.0	-0.16072297072969377	0.0	0.0	0.0	0.0	0.5527082670377582	0.0	0.0	0.0	0.6278597903365917	-0.11885915859602392	0.14001609085147126	0.0	-0.8512381019536406	0.0	-0.8828789130784571	0.5373624110084017	0.0	-0.12305215653032064	0.0	0.0	0.0	0.0	0.6301739991498528	-0.001019379752949634	0.0	0.04396525927560174	0.0	0.819971145863556	0.0	0.0	0.258294987487442	0.0	0.0	0.0	0.0	0.0	0.007739570059537529	0.0	0.0	0.0	0.0	0.0	0.7485959397028022	0.0	0.5714978569331498	0.0	0.0	0.25867504738082703	0.9595277453281653	0.3514485665741086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	-0.6056536834221333	0.014666657431199992	0.5200666281235756	0.0	0.0	0.0	0.0	-0.2543300251505233	0.0	0.0	0.5173641595810016	0.0	0.2867165063435859	-0.7082582355942577	0.0	0.0	0.0	-0.29769696947187185	0.0	0.0	0.07574291062449155	0.0	0.0	0.0	0.17834674664148994	0.0	0.21903065688399362	-0.4287178494737305	0.0	0.0	0.0	0.0	0.19478699570107166	0.0	0.0	0.0	0.0	0.5866305784437111	0.0	0.44711939890745833	0.1848553322001394	0.0	0.0	0.0	0.0	0.2810630255896722	0.8780387220769011	0.0	0.028600033433634167	0.0	0.0	0.6789214992411208	0.0	0.0	0.1957488135373533	0.0	0.0	0.22981782038052026	0.0	0.0	0.780824635562632	0.47128801056474	0.0
