mamo	CG32857	1
bab2	Ubx	1
Snoo	CG5151	1
Atf6	Atf6	1
tsh	mirr	1
Atf6	CG32350	1
Dif	dnd	1
Dif	wmd	1
mamo	CG33502	1
Atf6	CG33217	1
Atf6	CG17883	1
Dif	Mmp1	1
ct	zfh1	1
Atf6	CG14464	1
Dif	CG6966	1
CG8301	CG2931	1
Atf6	Stlk	1
svp	so	1
Dif	CG13606	1
tj	CG9626	1
Atf6	Cals	1
vri	GstT4	1
rgr	Sk2	1
Atf6	MFS10	1
Atf6	CG10465	1
Dif	ple	1
Atf6	Ephrin	1
Dif	slow	1
Atf6	CG6191	1
Atf6	CG3107	1
Atf3	CG10353	1
Atf6	Nipped-B	1
E(spl)mbeta-HLH	E(spl)m3-HLH	1
Atf6	PIP4K	1
Ets98B	Gasp	1
Atf6	MED26	1
CG6175	gnu	1
CG9932	CG3192	1
CG9932	ND23	1
Dif	CG9686	1
Dif	Prx2540-2	1
Dif	Sclp	1
Atf6	pho	1
Ets98B	Cpr100A	1
Atf6	cta	1
Atf6	RpS15Ab	1
CG9932	SdhC	1
NfI	CG6329	1
Ets98B	Cpr97Eb	1
Atf6	exd	1
Atf6	neur	1
vfl	borr	1
Dif	Nc	1
CG13624	Moe	1
Atf3	Lpin	1
Ets98B	serp	1
Dif	tmod	1
Ets98B	Cpr62Bc	1
CG13624	sqd	1
Ets98B	Nplp3	1
Atf6	CG4455	1
Atf6	CG8223	1
mamo	CG6843	1
bun	eIF-1A	1
CG6175	HLH106	1
Atf6	Pli	1
Atf6	stas	1
CG6175	Ser7	1
jing	CG15523	1
Atf6	CG15717	1
bun	CG15771	1
CG6175	Atg2	1
Atf6	CG32267	1
Atf6	Arf51F	1
CG6175	BM-40-SPARC	1
Lin29	Actbeta	1
Atf6	CkIIalpha	1
E(spl)m3-HLH	E(spl)mbeta-HLH	1
Atf6	p120ctn	1
CG6175	Hn	1
CG6175	CG3164	1
Atf6	PlexA	1
Atf6	CG5694	1
Atf6	CG33129	1
Dif	CG12896	1
Ets98B	obst-A	1
NfI	pHCl	1
CG6175	CG16721	1
CG9932	Pgm	1
Atf6	Trl	1
vri	CG9527	1
Dif	Prx2540-1	1
CG6175	Ehbp1	1
CG6175	rpk	1
vfl	boi	1
Atf6	mRpS5	1
CG6175	alpha-Spec	1
CG6175	Drep-2	1
Ets98B	Clect27	1
Ets98B	CG8736	1
Atf6	stmA	1
Atf6	CG32000	1
Atf6	CG5385	1
Atf6	CG17715	1
CG13624	Aps	1
Ets98B	emp	1
ct	kermit	1
bowl	NKAIN	1
CG6175	TMS1	1
Atf6	Dyrk3	1
Dif	CG17754	1
vri	CG11151	1
ct	CG5096	1
CG13624	CHES-1-like	1
jing	CG5599	1
CG6175	nec	1
Atf6	lt	1
CG6175	beta-Spec	1
CG6175	Lon	1
