Time	Gene1	Gene2	Gene3	Gene4	Gene5	Gene6	Gene7	Gene8	Gene9	Gene10	Gene11	Gene12	Gene13	Gene14	Gene15	Gene16
0	0.5438122	0.7903779	0.0693168	0.2461814	0.4377836	0.1082479	0.664962	0.5255584	0.6536385	0.5073944	0.0985405	0.4061297	0.3730538	0.380535	0.4724962	0.2943816
20	0.4098586	0.8000368	0.0591435	0.1784671	0.4178437	0.0517572	0.54291	0.4015477	0.6993808	0.3709543	0.0500147	0.4743632	0.2026251	0.292386	0.4192782	0.314739
40	0.3022892	0.7466471	0.0429784	0.2358402	0.3218863	0.0304503	0.5096572	0.4577759	0.619246	0.4841641	0.0628751	0.4414861	0.3170321	0.263573	0.436232	0.2519818
60	0.3055481	0.7618481	0.0457043	0.2201279	0.2461158	0.0164083	0.6370788	0.4588562	0.7333961	0.423418	0.0531274	0.4149441	0.3335652	0.234632	0.5115482	0.3718926
80	0.3390561	0.8375839	0.0536163	0.2002127	0.2982947	0.0330823	0.5266182	0.4299555	0.4923413	0.5038982	0.0675682	0.4472869	0.3811618	0.2399493	0.4540391	0.2891497
100	0.2530403	0.7393335	0.0378056	0.1793635	0.353203	0.0016281	0.5704558	0.4898199	0.4965354	0.5063972	0.061409	0.4427475	0.3834891	0.2199244	0.4345477	0.2267802
120	0.3070246	0.7691095	0.0503009	0.1771774	0.3814717	0.0227512	0.5945825	0.6041608	0.504338	0.5466086	0.1050087	0.6749945	0.4710067	0.3402772	0.3380466	0.2272485
140	0.2642363	0.89081	0.0373883	0.161826	0.4194285	0.0123926	0.564907	0.592229	0.4033431	0.6417638	0.0609207	0.5290779	0.446016	0.2387753	0.4230617	0.2427901
160	0.3126566	0.6710745	0.0416235	0.2333867	0.3155057	0.0228508	0.5476676	0.6615152	0.3781124	0.6067573	0.0901476	0.5686898	0.5689994	0.4111068	0.3642819	0.262581
180	0.3967416	0.5390258	0.0602471	0.1889482	0.3707682	0.0107379	0.6267486	0.5542123	0.3299953	0.5514165	0.0825108	0.5055286	0.5674465	0.3500864	0.387241	0.2686687
200	0.3392427	0.6003069	0.0710279	0.2300874	0.3909495	0.0242589	0.7582368	0.6137176	0.3752905	0.5526746	0.0708637	0.5840023	0.5151065	0.4231108	0.416903	0.3035329
