narL	nikR	dcuR	caiF	modE	nikD	nikC	nikB	frdB	frdC	frdA	nikE	nikA	frdD	dcuB	ccmF
0.0	-0.9572640107944608	-0.15435800305567682	0.0	-0.5565789749380201	0.0	0.0	0.0	0.0	-0.4307726379483938	0.0	0.0	-0.15964097809046507	0.0	0.0	0.47126552997897153
0.0	0.0	-0.8094433008227497	0.0	0.0	0.0	-0.770728969713673	0.0	0.0	-0.5856325200293213	-0.3674510784551256	0.0	-0.5960030895657837	0.0	0.0	0.0
0.0	-0.8847853373736143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.9157588477246463	-0.3406409225065016	0.0	-0.8457399164326489	0.0	0.0	0.0
0.0	0.0	0.0	0.0	-0.5523050897754729	0.0	-0.7264058270957321	0.0	0.0	-0.039049524581059813	0.0	-0.040951232658699155	-0.6131274199578911	0.20051764314874598	0.0	0.6239704864546168
0.0	-0.9533491914626211	0.0	-0.7212435689289123	0.0	-0.8771897391416132	0.0	0.0	-0.35477634907859523	0.0	-0.41720048218143513	0.0	-0.6142665359657258	-0.45143533018537274	0.0	0.6982294912430901
0.9566937982883434	-0.8262346556875855	0.0	-0.22716342587955296	0.0	0.0	-0.5625282665714622	0.0	0.0	0.0	0.0	0.0	0.0	0.2498461433208693	0.0	0.0
0.0	0.0	-0.535665019415319	0.0	0.0	0.0	0.0	-0.6808778941631317	0.0	0.0	0.17975554735290478	-0.6481715517584234	-0.8466339956503361	0.0	0.0	0.7973450254629809
0.5005520181577783	-0.5379159233998507	0.0	-0.023280578199774027	-0.39591937349177897	-0.8342070945072919	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1705737089726288	0.0	0.0
0.8992831650968771	0.0	0.0	0.0	0.0	0.0	0.0	-0.09734018216840923	0.0	0.0	0.0	0.0	0.0	0.0	-0.41681778500787914	0.0
0.01694209546187328	0.0	-0.08388665853999555	-0.5224597149062902	-0.42139353207312524	-0.01832492812536657	0.0	-0.8274114935193211	0.20735213773165684	0.0	-0.2534921487897389	-0.7089542462490499	0.0	0.11622289675168285	-0.8474938746076077	0.0
