norR	nsrR	dsdC	feaR	fhlA	feaB	hypA	hycE	hycF	hycD	hypB	hycG	hypE	hycH	hypD	hycB
0.0	0.0	-0.18062627012841403	0.0	0.0	0.0	0.3755646026696468	0.0	0.6151428883001598	0.0	0.029690667472401844	0.0	0.0	0.2716332275685813	0.0	-0.8652647256385535
0.0	0.0	0.0	0.0	-0.3202861059168298	0.0	0.0	0.0	-0.11109227276962075	-0.8547560116276145	0.0	0.0	0.18752550200188423	0.0	0.11524933200480508	0.0
-0.9784412328153849	-0.3174029989168048	0.0	-0.5698465590830892	0.16506625705492306	0.0	0.0	0.0	-0.06907255071770224	0.0	0.0	0.0	0.0	-0.007136362624824422	0.33647956532577145	0.0
-0.9522588392719626	0.0	0.0	0.0	-0.14737456670868587	0.0	0.32739229803005404	0.0	0.0	-0.9096860925201327	0.0	-0.06883784593082964	0.0	0.11262711903871558	0.0	0.0
0.0	0.0	0.0	0.0	0.2530079907095115	-0.3562467184383422	0.02181829256037423	0.0	0.0	-0.46984932804480195	0.12297543040252684	-0.19071323634125292	0.1821290448457178	0.468966854949012	0.0	-0.19473303970880806
0.0	0.0	-0.9997740997932851	0.0	0.0	-0.35924701602198184	0.1650201983287389	0.0	-0.20833762744065198	0.0	0.0	0.0	0.0	0.0	0.17079835986869502	0.0
0.0	-0.2166783190332353	-0.26886534644290805	-0.10605398868210614	0.0	-0.9984544753096998	0.0	0.0	0.0	0.0	-0.1405655565228367	-0.6749316290952265	0.7100921241250064	0.0	0.0	0.0
-0.5257047784980386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6106628104150685	0.0	0.0	-0.3160879041533917	0.155228507533687	0.0	0.6328054698758022	0.0
0.0	-0.16948833456262946	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.538880756823346	0.0	0.0	0.0	0.0	0.3294722030047523	0.0
-0.129013478057459	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.2909708845857141	0.0	0.0	0.0	0.0	0.0	0.0	-0.5065022804774344
