Time	Gene1	Gene2	Gene3	Gene4	Gene5	Gene6	Gene7	Gene8	Gene9	Gene10	Gene11	Gene12	Gene13	Gene14	Gene15	Gene16
0	0.1667159	0.7330711	0.2910473	0.2981119	3.87e-05	0.3383648	0.0562836	0.0239718	0.0497033	0.3723615	0.0529136	0.2247666	0.0349343	0.0008537	0.0172919	0.0889721
20	0.1432806	0.795413	0.3632512	0.2448869	0.0001956	0.3781074	0.0823303	0.0143174	0.2275798	0.3430764	0.0848671	0.3423147	0.0127429	0.0607696	0.0064457	0.0631564
40	0.1374493	0.6917984	0.3085638	0.344661	0.0006634	0.3918876	0.200876	0.0307581	0.2543311	0.3073668	0.077025	0.2137424	0.0108598	0.0980441	0.0098045	0.0805135
60	0.0962826	0.8011547	0.3032111	0.2669822	0.0	0.3588154	0.2962302	0.0148911	0.4142125	0.2757335	0.0933548	0.2446378	0.0068781	0.1626807	0.0131305	0.0267892
80	0.1043081	0.6733398	0.329702	0.3454154	0.0001298	0.3633673	0.1765593	0.0237003	0.3712354	0.3485786	0.1016491	0.2440184	0.0029456	0.1765402	0.0116438	0.0160613
100	0.1375785	0.6612608	0.3082925	0.2921911	2.45e-05	0.4441154	0.2331293	0.0158969	0.4151715	0.3861545	0.1098765	0.3152864	0.0048565	0.1996687	0.0118882	0.0203604
120	0.185273	0.6823862	0.2351321	0.2986124	6.28e-05	0.3625744	0.2295228	0.0247233	0.5650207	0.3017598	0.1041382	0.218761	0.008032	0.1744506	0.0108867	0.007537
140	0.1365308	0.7211422	0.369545	0.3066515	0.0001629	0.3424697	0.3916866	0.0157059	0.44255	0.3167416	0.1055856	0.2277546	0.0152209	0.1885593	0.0138976	0.0030891
160	0.1823581	0.6794479	0.2696144	0.3235994	0.0004375	0.3624587	0.309927	0.0247576	0.4518699	0.3315053	0.1049087	0.2337375	0.0143044	0.2078788	0.0151601	0.0108385
180	0.1968011	0.7573128	0.2363888	0.334975	0.0003214	0.3193761	0.3568085	0.0255624	0.4568168	0.315124	0.1407675	0.3260824	0.0275925	0.1440887	0.0076269	0.0032793
200	0.1068216	0.6281595	0.2951244	0.2905713	0.0002811	0.374704	0.2697732	0.0611109	0.477016	0.3332566	0.1231938	0.2828205	0.0159037	0.1903459	0.0145279	0.0002012
220	0.1541451	0.6544256	0.2731643	0.253723	4.16e-05	0.4356767	0.2016519	0.0324146	0.4455156	0.3438294	0.1357419	0.3727513	0.0238519	0.1800576	0.0139832	0.001893
240	0.1105407	0.8086878	0.2329034	0.2366814	2.36e-05	0.4608199	0.2787602	0.0189548	0.4676389	0.2959878	0.155301	0.3010998	0.0080501	0.1823488	0.0123875	0.0010824
260	0.1479752	0.6545169	0.3398097	0.2465811	0.0019099	0.4572604	0.2581041	0.0216687	0.5134074	0.2814239	0.1549071	0.3610504	0.0305826	0.2135769	0.0079039	0.0012381
280	0.2047619	0.6133515	0.3504778	0.2754832	0.0003457	0.3441326	0.2252895	0.0276563	0.4967742	0.3104843	0.1098385	0.309611	0.0123352	0.2316012	0.0221211	0.0007586
300	0.1953306	0.6990078	0.3211598	0.4267512	0.0006675	0.3624965	0.2508589	0.0383312	0.5576175	0.3853794	0.1190167	0.2895925	0.0106813	0.3012171	0.0187163	0.0016222
320	0.1828829	0.6665211	0.2945114	0.3310484	0.0007034	0.3438782	0.2694179	0.0243763	0.5362445	0.3964478	0.1777285	0.3290195	0.0245992	0.1500188	0.022393	0.0024666
340	0.1372485	0.7436157	0.2994229	0.2881978	0.0001797	0.3585384	0.2269419	0.0155692	0.5733261	0.3207627	0.1169533	0.3303433	0.0216352	0.1214097	0.008136	0.0010055
360	0.1295486	0.7926774	0.2266644	0.3285095	2.93e-05	0.4276181	0.245122	0.0250361	0.5728701	0.3794681	0.0808353	0.3081176	0.0194318	0.2260265	0.0078788	0.0014646
380	0.1887606	0.7157466	0.2917501	0.3283941	0.0006316	0.2956797	0.2639963	0.0236013	0.6214721	0.3899605	0.1175372	0.3053679	0.0231859	0.2296627	0.0173095	0.0009439
400	0.1656899	0.7096515	0.3360228	0.3164031	0.0003852	0.4072452	0.256649	0.0380404	0.467641	0.3758742	0.1012481	0.2931677	0.0192231	0.2151924	0.0047295	0.0053913
420	0.1482882	0.6715303	0.2900829	0.2295677	0.0003651	0.3868754	0.2610422	0.0264817	0.5430183	0.330832	0.1185871	0.2664748	0.0387625	0.1635115	0.0050489	0.0008059
440	0.2085606	0.8363907	0.3200911	0.2860837	5.72e-05	0.4100861	0.2337071	0.0069114	0.6621074	0.381145	0.1054058	0.2340809	0.0106274	0.1264073	0.0038609	0.0029071
460	0.1243303	0.8086504	0.2991803	0.2691093	0.0	0.392277	0.2611921	0.0259515	0.5922777	0.3775929	0.1054199	0.2077999	0.0144337	0.1484156	0.0230309	0.0042255
480	0.1928217	0.8101406	0.2754355	0.283467	0.0002042	0.3194048	0.2330256	0.0195722	0.4999303	0.3228734	0.0967871	0.2032685	0.0214025	0.2489576	0.0071188	0.0007914
500	0.1877576	0.7435628	0.3038399	0.2975015	0.000188	0.3771018	0.1881027	0.0389838	0.6664074	0.4070152	0.0639178	0.2267254	0.0439327	0.1590423	0.0084156	0.0002363
520	0.1741095	0.7637253	0.2850589	0.1916076	0.0001206	0.3845525	0.2561187	0.021653	0.6072546	0.342701	0.1173336	0.2491638	0.0081206	0.1530218	0.0270602	0.0004004
540	0.1533722	0.8003922	0.3458737	0.2168191	0.0001617	0.3582306	0.3002217	0.0262861	0.5531201	0.3986681	0.1334778	0.1819545	0.0456114	0.1365551	0.0072787	0.0002564
560	0.1194387	0.721319	0.3543604	0.2112515	0.0002346	0.2948936	0.3703085	0.0297283	0.5049699	0.3279212	0.1040201	0.1371572	0.0463722	0.1999003	0.0219284	0.0020578
580	0.1328897	0.5839098	0.2276729	0.2030973	0.0004438	0.2809869	0.1450973	0.0136987	0.3655357	0.3183172	0.0870374	0.1636076	0.0066643	0.082497	0.0053499	0.0331709
600	0.158247	0.7207679	0.2872581	0.2512013	0.0002032	0.2931088	0.1054977	0.0434644	0.1979053	0.2269241	0.0609665	0.1517986	0.0017548	0.037277	0.0097861	0.0460579
620	0.1721209	0.7680678	0.3273104	0.2463812	2.57e-05	0.2882586	0.0208971	0.0327409	0.2360259	0.3261286	0.0555186	0.2000348	0.0031074	0.0166017	0.0081125	0.0507572
640	0.1218512	0.7634775	0.3353134	0.2220113	9.99e-05	0.3224434	0.0324389	0.0146974	0.1437474	0.258321	0.0719717	0.2333923	0.0059607	0.013042	0.0162128	0.0339951
660	0.194337	0.8154761	0.345061	0.3099292	2e-07	0.3314099	0.0211761	0.0469544	0.1275809	0.2779333	0.0480065	0.2197788	0.0095145	0.0182476	0.0149914	0.0784104
680	0.1251769	0.7917584	0.2511098	0.2181485	2.05e-05	0.3226782	0.0145263	0.0490852	0.1127962	0.2865595	0.0699497	0.2190581	0.0172667	0.0024799	0.0109894	0.0465916
700	0.1210967	0.6202726	0.3539324	0.2239195	0.0008399	0.3776222	0.0114987	0.0626618	0.0771577	0.2620438	0.1227876	0.2985933	0.0714744	0.0010745	0.0180804	0.061839
720	0.1801889	0.7928569	0.3896079	0.2551241	0.0012195	0.3273946	0.0055988	0.0704165	0.071508	0.2736199	0.1163576	0.2215889	0.0093247	0.0029058	0.0035417	0.0618343
740	0.2235339	0.7255696	0.3244642	0.2484451	0.0	0.3786704	0.0094151	0.041392	0.0566313	0.2809411	0.1070147	0.2764326	0.017896	9.93e-05	0.0034346	0.0283803
760	0.2498548	0.7381689	0.3877153	0.3313059	7.53e-05	0.3621842	0.0085831	0.0155597	0.0917171	0.3619787	0.0736281	0.2435385	0.0098165	0.0	0.0037019	0.0395838
780	0.1493818	0.668674	0.4419404	0.2989673	4.3e-06	0.344171	0.0056178	0.0091726	0.126655	0.2745467	0.0838865	0.2139355	0.0108382	0.0010241	0.0004408	0.0617147
800	0.1449363	0.6653186	0.3585239	0.2682528	4.67e-05	0.4577415	0.021525	0.0178782	0.0801273	0.3049658	0.0498035	0.2072749	0.0119203	0.0005573	0.0015497	0.0627469
