hipB	hipA	ihfB	yeiL	tdcA	tdcD	tdcG	tdcE	tdcB	tdcF	tdcC	hemF	ibpB	htrE	ecpD	amiA
0.0	0.0	0.0	0.0	0.0	0.5742076739431241	0.0	0.011797969172291966	0.0	0.9466723314535136	0.01015797191144423	0.0	0.0	0.1559096768558629	0.0	0.0
0.0	0.0	-0.8915502612944692	0.0	0.5029745066027086	0.12522408359170645	0.7904779360325597	0.7560615927805682	0.0	0.8635867821567024	0.5760288096855719	-0.9980058213695884	0.0	0.08710390241487401	0.8257305503931139	-0.893865653546527
-0.7416370292194188	0.0	0.0	0.3835051424350837	0.0	0.48008598892436116	0.498055857948359	0.06974645139514705	0.0	0.6759397612467671	0.8285210375099767	-0.7701804006937891	0.0	0.0	0.5057447190039103	0.0
0.0	0.0	0.0	0.687380080252538	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.10710144508630037	0.6550889452845865	0.0	0.0	0.0
0.0	-0.036248470889404416	0.0	0.0	0.0	0.0	0.541230990893539	0.0	0.04471186854858401	0.0	0.9073186954840411	0.0	0.9017037053053343	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.462742979307745	0.0	0.0	0.3705877216426214	0.0	0.0	0.0	-0.8792105752509087	0.0	0.0	0.0	-0.2338609229773283
0.0	-0.4843349780421704	0.0	0.0	0.3563702443103235	0.0	0.5198049939864836	0.0	0.0	0.5116658503238375	0.0	0.0	0.9041283945479506	0.0	0.0	-0.5821421362925321
-0.67655242793262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.36241311277262866	0.0	0.44659533263786216	0.33904511347564503	0.0
-0.2581999460235238	-0.3185150471981615	-0.8338153152726591	0.0	-0.009128485671158513	0.19729625915595084	0.0	0.0	0.8048452348819047	0.80160921011607	0.9294767238091071	-0.6435731530655175	0.0	0.0	0.0	-0.2089411320630461
0.0	0.0	-0.8200414218008518	0.0	0.0	0.0	0.3443783371405265	0.9470325384182413	0.0	0.7413667283535267	0.7800648296608914	-0.38010672689415514	0.0	0.0	0.3475846157517527	0.0
