yoeB	yefM	alaS	mngB	mngR	mngA	artJ	argR	argB	artI	artQ	argA	artM	argC	argE	artP
0.0	0.0	-0.7250098097138107	-0.8828208416234702	-0.8867053163703531	-0.9131185014266521	0.0	0.0	0.0	0.0	-0.6337130952160805	0.0	0.0	0.0	-0.6998223762493581	0.0
-0.3609812285285443	0.0	0.0	-0.039243460865691304	-0.9679581010714173	0.0	0.0	-0.30764395697042346	-0.2739946567453444	0.0	-0.15139353391714394	0.0	0.0	0.0	-0.3708623393904418	0.0
0.0	0.0	-0.6303290391806513	-0.1874837107025087	0.0	0.0	0.0	0.0	-0.11464061704464257	-0.3022016941104084	0.0	0.0	-0.29607666470110416	0.0	0.0	0.0
0.0	0.0	0.0	-0.3816885200794786	0.0	-0.9121268398594111	-0.878613845910877	0.0	-0.020710472483187914	0.0	0.0	0.0	-0.5083477247972041	0.0	0.0	0.0
0.0	-0.4652274679392576	0.0	-0.8656649757176638	-0.6065498879179358	-0.8956680372357368	0.0	-0.20019635395146906	-0.22226872318424284	-0.5815980960614979	0.0	-0.8289916627109051	0.0	0.0	0.0	0.0
0.0	-0.53988007013686	0.0	0.0	0.0	0.0	-0.8430897600483149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.8980636338237673	-0.82729352125898
0.0	0.0	-0.6343664866872132	0.0	-0.4159421264193952	0.0	-0.9916532330680639	-0.21607153792865574	0.0	0.0	0.0	-0.9848980843089521	-0.024346612626686692	-0.9280184814706445	0.0	0.0
-0.3287360738031566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.8233101808000356	-0.2891084454022348	0.0	0.0	-0.27878207131288946
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.4927969463169575	0.0	-0.7796517880633473	0.0	0.0	0.0	0.0	0.0
0.0	0.0	-0.027911349898204207	0.0	0.0	-0.7145271990448236	-0.8228922276757658	0.0	0.0	-0.5534563211258501	-0.6266489983536303	0.0	0.0	0.0	0.0	0.0
