hipA	hipB	ihfB	yeiL	tdcA	tdcF	tdcG	tdcE	tdcC	tdcD	tdcB	hemF	amiA	ibpB	uspB	ecpD
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.72012373187828	0.44500690987956015	0.0	0.0	0.0	-0.3344300095923245	0.0	0.10403716420014114	-0.16458600480109453	0.0
0.0	0.0	0.0	0.39784334430905394	0.0	0.7039177453107683	0.7518751643343562	0.3854867667953321	0.0	-0.10436652299828766	0.0	0.0	0.0	-0.01225507263834863	0.0	0.0
0.0	-0.16012163273990154	-0.2970935646444559	0.0	0.0	0.0	0.0	0.0	0.42869478946182565	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.2231759300749201	-0.19012548285536468	0.0	-0.016964044948421797	0.0	0.951091410867825	0.48034690168935	0.7353978048606613	0.5228572875969454	0.0	0.0	-0.7251756177283823	0.0	0.21138156177666695	0.0	0.0
0.40240451947929445	-0.7480891405139118	-0.5639729083050042	0.0	0.0	0.0	0.41391504101704	0.0	0.0	-0.06496193750642179	0.0	0.0	0.0	0.7310674241297386	-0.7016338310204446	0.0
0.0	0.0	-0.30474973865784705	0.0	0.0	0.0	0.44807049713346303	0.0	0.3461022308804436	0.0	0.0	-0.9138192282989621	0.0	0.0	0.0	0.31861013984360437
0.0	0.0	0.0	0.0	0.0	0.8250329150314926	0.6625960821962649	0.0	0.0	0.0	0.0	0.0	-0.34674678975716233	0.0	-0.03559478302486241	0.6595127330632571
-0.2796222649220925	-0.7108219503425062	0.0	0.0	0.6887792619096079	0.4571898568383901	0.0	0.0	0.0	0.8542304464907206	0.0	0.0	0.0	0.7184775324557415	0.0	0.3363628410273854
0.0	0.0	0.0	0.0	0.0	0.0	0.8644811006939703	0.0	0.5644096724465831	0.0	0.3631731763391085	0.0	0.0	0.0	0.0	0.48146332376689355
