deoR	nupG	cytR	crp	rhaR	tsx	deoC	deoA	deoB	deoD	udp	ppiA	cdd	nupC	rpoH	glgP
-0.7195498822256923	0.0	0.0	0.0	0.0	0.0	0.0	-0.7416970226913691	0.0	0.0	0.0	0.0	-0.6832466360647231	0.7897763366521952	-0.689908892614767	0.0
-0.5056878235191107	0.0	0.0	0.0	0.6442008702043296	0.0	0.0	-0.8228917506057769	-0.5008858223445714	0.0	0.0	0.0	0.0	0.6219520934568402	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	-0.9858553656376898	0.0	0.0	0.0	0.0	-0.7987594800069928	-0.29052807786501944	0.0	0.0	0.0
0.0	0.0	-0.32661464251577854	-0.9270171851385385	0.0	0.0	-0.7999916619155556	0.0	-0.20594625128433108	-0.2215630761347711	0.0	0.0	0.0	0.0	0.0	0.08675375323516463
0.0	-0.4051144712138921	0.0	0.0	0.4037460497539343	0.0	0.0	-0.6095606170129031	-0.77977269818075	0.0	-0.6922301759477705	0.0	0.0	0.4595893498221097	-0.18473275657743216	0.8033307674225155
0.0	0.0	-0.7626702336128801	0.0	0.7380043968051524	-0.6460384444799274	0.0	0.0	0.0	-0.5669515372719616	0.0	0.0	0.0	0.16637515813947293	0.0	0.0
-0.6647043814882636	-0.07071064552292228	0.0	-0.8820241158828139	0.0	-0.5017121774144471	-0.2241929096635431	0.0	0.0	-0.6072741581592709	0.0	0.0	0.0	0.946375018701857	0.0	0.0
0.0	0.0	-0.2158995633944869	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0729624193804023	0.0	0.6521350720315907
-0.15604349202476442	-0.54728873539716	0.0	0.0	0.3106286426965	0.0	-0.3163583914283663	0.0	-0.37179965944960713	-0.1866185877006501	0.0	-0.7693464073818177	-0.649777703685686	0.0	0.0	0.0
-9.225483518093824E-4	-0.7596050060819834	0.0	-0.9183307653293014	0.0	0.0	0.0	0.0	-0.458648530067876	0.0	0.0	0.0	0.0	0.6945972135467139	-0.611546540632844	0.0
