mqsA	mqsR	alaS	yccA	cpxR	psd	dsbA	motA	ydeH	bacA	ftnB	yidQ	ppiD	rseA	rdoA	cheA
-0.3175603998824954	-0.3308676390442997	0.0	0.0	0.0	-0.975486715324223	0.779680365553653	-0.7793473431374878	0.0	0.0	0.0	0.5070705847099278	0.0	0.0	0.0	-0.16540925996378064
0.0	0.0	0.0	0.0	0.29560407172890363	0.0	0.0	0.0	0.8411045207067621	0.07120429688726074	0.0	0.40730563925875757	0.0	-0.7954251985065639	0.0	0.0
0.0	-0.0506010630633682	0.0	0.7814978021511477	0.0	-0.5488899464253336	0.0	0.0	0.35441168256879274	0.0	0.6897368218212991	0.32359933808742497	0.4080214365842379	0.0	0.8011805101851134	-0.8878714011516422
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2607868252008826	-0.00266771005246344	0.7079389631032799	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.09760563620046353	-0.9786844234913588	0.0	0.0	0.0	0.0	0.6309180907430686	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.47493738160470483	-0.612021820852533	0.0	0.0	0.7050758609439475	0.0	0.0	0.1747879416432086	0.40743100717576214	0.0	0.0	0.0
0.0	-0.7213374618440866	0.0	0.0	0.5886086678691392	-0.7240527344401926	0.0	0.0	0.017865595862571623	-0.03431181598793262	0.0	0.0	-0.0030305592351966074	0.0	0.1807919667190073	0.0
0.0	0.0	0.0	0.0	0.1637170411739683	-0.07753472891636193	-0.050648793022552374	-0.06619534292258322	0.0	0.4798205658945859	0.0	0.6396929603285942	0.6069716830263473	0.0	0.5993884071795402	0.0
0.0	0.0	0.0	0.0	0.3145536444243228	0.0	0.20130571149901128	-0.3220883239991963	0.387621789461304	0.754906627225098	0.579312752133575	0.0	0.0	-0.5783797835465521	0.4367907786363868	-0.2717505630571395
-0.5880622754339129	0.0	-0.8447997542098165	0.0	0.3876825772784835	0.0	0.0	0.0	0.0	0.0	0.7182303233001053	0.0	0.0	-0.21501546911895275	0.5838223324244974	-0.3283317517489195
