paaX	maoC	ihfB	hipA	hipB	paaE	paaC	paaH	paaD	paaA	paaF	paaJ	paaI	paaB	paaG	paaK
0.0	0.0	-0.5904109587427229	-0.3634924099314958	0.0	-0.059313176633859765	0.27961942993011535	0.0	-0.20740496646612883	0.0	0.0	0.0	0.0	0.30261354953773856	0.0	0.5848391579278902
0.0	0.0	0.0	0.0	0.0	0.6186391851249387	0.5177866345914102	0.8617492446607696	0.0	0.5976828946369833	0.0	0.6591726763577357	-0.946349729783833	0.0	0.0	0.0
0.0	0.0	0.0	0.0	-0.14901623946446463	0.0	0.9383543943697608	0.6037659286918836	0.0	0.0	-0.2785188314347822	0.0	0.0	0.0	0.0	0.0
-0.576991650974378	0.0	-0.6774260855745524	0.0	0.0	0.1967479833717693	0.3764308758256978	0.0	-0.9133020665030926	0.0	0.0	0.270115107617636	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4917232084951149	0.0	0.026107562203998014	0.0	0.0	0.0	0.0	0.0	0.0
-0.10637846030294895	0.0	0.0	-0.43041077512316406	0.0	0.4862130708377112	0.0	0.0	-0.0583849607501179	0.0	0.0	0.0	0.0	0.0	0.0	0.8555904162862495
0.0	0.0	-0.30830600252375007	0.0	0.2368163147306116	0.0	0.5176914357291555	0.0	0.0	0.0	-0.28135487794236425	0.0	0.0	0.741459421019783	0.7556235809919665	0.0
-0.08163693943060935	0.0	-0.03453735332004726	-0.022569634253159165	0.4350949730554642	0.0	0.0	0.21257825432594585	0.0	0.0	0.29453322167216656	0.0	0.0	0.0	0.0	0.31511023587558123
-0.1646102701779455	0.0	0.0	0.0	0.0	0.7018877771067669	0.8315137459142155	0.31626957169983255	0.0	0.0	-0.28331997835368994	0.6699150389463797	0.0	0.9663603316506052	0.0	0.0
0.0	0.0	-0.7811162744183093	-0.15476465853862464	0.3680088959930511	0.38770973778695356	0.0	0.0	0.0	0.0	0.10230242057411787	0.0	-0.6718598091974854	0.0	0.14591528811652754	0.0
