rstA	csgD	ompR	bolA	rcsB	csgE	csgG	csgF	sra	ompF	omrA	ampC	omrB	iraP	adrA	tppB
0.0	0.0	-0.7578354871366173	-0.5714165864046663	0.0	0.0	0.0	-0.34651845251210034	0.0	0.0	0.0	0.0	0.23303632422962736	0.32236225716664635	0.0	0.0
0.0	0.0	-0.1309945525135845	0.0	0.0	0.0	0.0	0.0	0.35433977516218346	0.0	0.0	-0.942852241685614	0.6607418319551046	0.0	0.0	0.0
0.0	0.0	-0.697236686013639	-0.05844432418234646	0.0	0.0	0.0	-0.9675275608897209	0.10262630577049475	0.0	0.7491770359839515	0.0	0.0	0.0	0.0	0.0
-0.46077545965090394	0.0	0.0	0.0	-0.691944515099749	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5232153716486617	0.0	0.7108863658432288
0.0	0.0	-0.4390024933964014	0.0	0.0	0.0	-0.21301430824469947	0.0	0.0	-0.19097959902137518	0.0	0.0	0.0	0.2087948031247332	0.0	0.0
0.0	0.2994971561131796	-0.2966797680128366	0.0	0.0	0.0	0.0	-0.6841712961904705	0.0	0.0	0.05949311690993765	-0.42087098280899227	0.8579341565133776	0.0	0.769774357254397	0.0
0.0	0.0	-0.1239747335202992	0.0	-0.8089581034146249	0.0	0.0	0.0	0.38734045508167964	0.0	0.6827882554999755	-0.628216037992388	0.0	0.0	0.0	0.0
-0.7823220796417445	0.0	0.0	-0.2249662287067622	0.0	0.0	0.0	-0.4270359305664897	0.0	-0.12216717819683254	0.1655899976532177	0.0	0.0	0.03520494489825509	0.0	0.0
0.0	0.0	-0.22824970562942326	-0.7538954541087151	0.0	0.5447939269009557	0.0	0.0	0.0	0.0	0.0	-0.9827580933924764	0.0	0.27826136583357297	0.8312266370530835	0.0
0.0	0.0	0.0	0.0	-0.21475400659255683	0.0	0.23958566237915135	0.0	0.0	0.0	0.9243646723835931	0.0	0.0	0.022124825277246456	0.1075285907618365	0.6383501809250934
