hns	cspA	bolA	stpA	bglJ	bglB	bglG	bglF	cspD	proW	gspB	yjjP	proV	gspO	mukE	yciE
-0.43183721419262067	0.0	-0.3287319710943848	0.0	-0.4704381050541997	-0.5786924541462213	0.0	0.23441787557384208	0.0	0.0	-0.08135145367123187	0.0	0.0	-0.32967995502986014	0.0	-0.42710154806263745
0.0	-0.9737938484176993	0.0	0.0	0.0	0.0	0.0	0.004589783769903932	0.7205265106565827	0.0	0.0	0.0	0.0	0.0	0.0	0.0
-0.20681540811272636	-0.12277797097340226	0.0	-0.8225212080869824	0.0	0.0	-0.034658736031381754	0.11841113916306034	0.0	0.0	-0.5834911961574107	0.0	-0.30965727660804987	0.0	0.0	-0.8659100271761417
0.0	-0.3340035977307707	0.0	-0.4159338988829404	0.0	0.0	0.010493000090242954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.20806344714947045
-0.4392938930897631	0.0	0.0	-0.6884500496089458	-0.6098865286912769	0.0	0.0	0.030838959661184107	0.9797203336309218	0.0	0.0	-0.3520472238305956	-0.6581010527443141	0.0	0.0	0.0
0.0	0.0	0.0	-0.7065649579744786	0.0	-0.44575042137876153	0.0	0.05686544933995441	0.10031457435596222	-0.01500320783816278	0.0	-0.8563371391501278	-0.1066153107676655	0.0	0.0	-0.05646720691584051
0.0	0.0	-0.44237926392816007	-0.9065702701918781	0.0	0.0	0.0	-0.2608075756143199	0.0	0.0	0.0	0.0	0.0	0.0	0.06133006988340841	0.0
-0.5461677753257222	0.0	0.0	0.0	0.0	0.0	0.387422598019363	0.0	0.0	0.0	0.0	-0.4688228787854314	0.0	0.0	0.22729668915519344	-0.10614724736660719
0.0	0.0	0.0	-0.6155148034449667	-0.7177679040469229	-0.19317041290923953	0.0	0.0	0.9199520994841629	0.0	-0.21854901174083352	0.0	-0.8536048992536962	0.0	0.12672311403104888	-0.2691644481383264
0.0	-0.35313066467642784	0.0	0.0	-0.2996590700931847	0.0	0.0	-0.04008104903915688	0.8499043814770454	0.0	-0.30647021904587746	0.0	0.0	-0.10632341192103922	0.902532528948652	0.0
