ompR	bolA	1
ompR	csgD	1
ompR	flhD	1
ompR	flhC	1
ompR	csgF	1
ompR	csgG	1
ompR	sra	1
ompR	csgE	1
csgD	csgF	1
csgD	csgG	1
csgD	csgE	1
rcsB	csgD	1
rcsB	rcsA	1
rcsB	flhD	1
rcsB	flhC	1
rcsB	csgF	1
rcsB	csgG	1
rcsB	sra	1
rcsB	osmB	1
rcsB	csgE	1
rcsB	wzc	1
rcsB	wza	1
rstA	csgD	1
rstA	csgF	1
rstA	csgG	1
rstA	csgE	1
rcsA	csgD	1
rcsA	flhD	1
rcsA	flhC	1
rcsA	csgF	1
rcsA	csgG	1
rcsA	sra	1
rcsA	osmB	1
rcsA	csgE	1
rcsA	wzc	1
rcsA	wza	1
flhD	fliG	1
flhD	ppdB	1
flhD	flhB	1
flhD	flgC	1
flhD	ygbK	1
flhD	gltL	1
flhD	fliD	1
flhD	flgE	1
flhD	fliL	1
flhD	fliS	1
flhD	gltK	1
flhD	fliN	1
flhD	fliM	1
flhD	ycgR	1
flhD	yhjH	1
flhD	flhE	1
flhD	fliK	1
flhD	flgM	1
qseB	flhD	1
qseB	flhC	1
hdfR	flhD	1
hdfR	flhC	1
lrhA	flhD	1
lrhA	flhC	1
flhC	fliG	1
flhC	ppdB	1
flhC	flhB	1
flhC	flgC	1
flhC	ygbK	1
flhC	gltL	1
flhC	fliD	1
flhC	flgE	1
flhC	fliL	1
flhC	fliS	1
flhC	gltK	1
flhC	fliN	1
flhC	fliM	1
flhC	ycgR	1
flhC	yhjH	1
flhC	flhE	1
flhC	fliK	1
flhC	flgM	1
phoP	rstA	1
phoP	treR	1
gadE	rcsA	1
gadE	gadX	1
gadE	gadW	1
gadE	yhiD	1
gadE	hdeB	1
gadE	mdtE	1
gadE	gadA	1
evgA	gadE	1
evgA	ydeO	1
evgA	mdtE	1
ydeO	gadE	1
ydeO	mdtE	1
gadX	gadE	1
gadX	gadW	1
gadX	yhiD	1
gadX	hdeB	1
gadX	mdtE	1
gadX	gadA	1
gadW	gadE	1
gadW	gadX	1
gadW	yhiD	1
gadW	hdeB	1
gadW	mdtE	1
gadW	gadA	1
rutR	gadX	1
rutR	gadW	1
rutR	nemR	1
rutR	nemA	1
nemR	nemA	1
ompR	rcsB	0
ompR	rstA	0
ompR	rcsA	0
ompR	qseB	0
ompR	hdfR	0
ompR	lrhA	0
ompR	phoP	0
ompR	treR	0
ompR	gadE	0
ompR	evgA	0
ompR	ydeO	0
ompR	gadX	0
ompR	gadW	0
ompR	rutR	0
ompR	nemR	0
ompR	yhiD	0
ompR	fliG	0
ompR	ppdB	0
ompR	hdeB	0
ompR	flhB	0
ompR	flgC	0
ompR	ygbK	0
ompR	gltL	0
ompR	fliD	0
ompR	flgE	0
ompR	mdtE	0
ompR	fliL	0
ompR	fliS	0
ompR	gadA	0
ompR	osmB	0
ompR	nemA	0
ompR	gltK	0
ompR	fliN	0
ompR	fliM	0
ompR	ycgR	0
ompR	yhjH	0
ompR	flhE	0
ompR	wzc	0
ompR	fliK	0
ompR	flgM	0
ompR	wza	0
bolA	ompR	0
bolA	csgD	0
bolA	rcsB	0
bolA	rstA	0
bolA	rcsA	0
bolA	flhD	0
bolA	qseB	0
bolA	hdfR	0
bolA	lrhA	0
bolA	flhC	0
bolA	phoP	0
bolA	treR	0
bolA	gadE	0
