Time	Gene1	Gene2	Gene3	Gene4	Gene5	Gene6	Gene7	Gene8	Gene9	Gene10	Gene11	Gene12	Gene13	Gene14	Gene15	Gene16	Gene17	Gene18	Gene19	Gene20	Gene21	Gene22	Gene23	Gene24	Gene25	Gene26	Gene27	Gene28	Gene29	Gene30	Gene31	Gene32
0	0.469047	0.4467484	0.1331651	0.6936271	0.6752884	0.734861	0.0897696	0.4387744	0.5318032	0.6057253	0.5975033	0.5527899	0.1228972	0.6905378	0.3724133	0.7754218	0.5519171	0.5542811	0.7060511	0.5042966	0.6021866	0.4948225	0.2466244	0.39611	0.7374377	0.6713943	0.4794222	0.5100331	0.517156	0.6426171	0.5625492	0.4980931
20	0.4439389	0.3636286	0.11046	0.6085636	0.6699448	0.6137858	0.0587287	0.3279512	0.6312684	0.4507754	0.6978058	0.7064677	0.1221951	0.4686768	0.4367349	0.6328752	0.5489899	0.4355738	0.7012781	0.4365064	0.4837071	0.4192969	0.294288	0.3479994	0.6934664	0.4929317	0.3675124	0.6376926	0.5806449	0.6777008	0.5988722	0.3345252
40	0.4067159	0.3799548	0.1753286	0.6500559	0.7349756	0.5642939	0.0744282	0.2601395	0.7264726	0.4705396	0.7759911	0.7035701	0.1216118	0.5153842	0.4252052	0.8393057	0.5387431	0.1615568	0.7361175	0.4558471	0.6030864	0.390197	0.3239537	0.3642798	0.6425321	0.4018101	0.366698	0.5289269	0.5638934	0.6587652	0.4806838	0.3331673
60	0.3897415	0.3510261	0.2000032	0.7082807	0.832981	0.6156242	0.0967694	0.1721082	0.6177283	0.5082491	0.5998892	0.7342279	0.1342182	0.5479386	0.4007516	0.6878638	0.5475114	0.1632947	0.71181	0.3753627	0.5566248	0.4968914	0.2773214	0.3712399	0.6452318	0.2704949	0.2941463	0.559968	0.6362313	0.5485404	0.4189121	0.3010909
80	0.4063028	0.3711336	0.1597773	0.6414123	0.6865654	0.6548791	0.0597371	0.1856392	0.5712155	0.6004142	0.6701781	0.7569228	0.0887163	0.5982563	0.4482817	0.7138414	0.5582941	0.1853697	0.6705731	0.4074586	0.528047	0.4428408	0.3174294	0.3446261	0.7044005	0.3722334	0.2394641	0.4114035	0.5758573	0.5773552	0.4599231	0.3041431
100	0.4338073	0.449658	0.152625	0.7082409	0.723441	0.5752606	0.0616946	0.1508638	0.4912878	0.4291283	0.7625131	0.6472799	0.0895338	0.5656365	0.4372084	0.6273503	0.5419156	0.2215921	0.605116	0.4627123	0.5116263	0.4441991	0.3838528	0.4073557	0.7391626	0.3192086	0.295458	0.3327758	0.6672189	0.5544559	0.3821418	0.2253181
120	0.4676326	0.4189011	0.1395447	0.7139829	0.7355075	0.5148339	0.1053215	0.122208	0.6019528	0.4411454	0.7655606	0.8092241	0.1522523	0.5131708	0.396023	0.6585166	0.6997839	0.2237401	0.6074251	0.4998988	0.4925843	0.4923682	0.3898575	0.3855499	0.8448434	0.2224349	0.2973144	0.254412	0.677571	0.4590747	0.390195	0.1663138
140	0.3991163	0.4051938	0.1316949	0.6349972	0.672406	0.4391903	0.0671653	0.0947754	0.6041711	0.3522702	0.6137146	0.7128921	0.0970632	0.4791688	0.4300067	0.6104053	0.521477	0.1658633	0.6412376	0.520187	0.626372	0.5397014	0.3836286	0.3863097	0.7741238	0.2051506	0.3128967	0.2566816	0.5985372	0.391827	0.3608306	0.1829221
160	0.4146093	0.5169143	0.1096261	0.6666116	0.7035664	0.54016	0.1159143	0.1138047	0.6817308	0.3430846	0.6690026	0.6095991	0.0919788	0.4905908	0.4084429	0.8247649	0.5276602	0.2321916	0.6095209	0.4876559	0.5336869	0.4756102	0.354085	0.4243685	0.7226306	0.1678049	0.308669	0.1799183	0.6041197	0.3293214	0.3509646	0.1644829
180	0.4390369	0.3214319	0.1296489	0.5394615	0.6859012	0.4837777	0.0681989	0.0944751	0.7515145	0.4918646	0.6996678	0.6266662	0.1277666	0.5799757	0.2959388	0.7033374	0.5723491	0.1506379	0.5372268	0.4847542	0.4776109	0.4384082	0.3505824	0.3595343	0.7296726	0.217022	0.3445291	0.2039192	0.6389641	0.2796429	0.2248633	0.2195648
200	0.4208343	0.3712139	0.1950569	0.6526722	0.6386808	0.4711185	0.0828726	0.1310576	0.736958	0.4448803	0.6654515	0.5882592	0.1262546	0.5482031	0.322116	0.6843752	0.5295463	0.2138279	0.7001195	0.3766079	0.554948	0.5095821	0.3134081	0.3475625	0.6380196	0.1271698	0.3987391	0.1508856	0.5376824	0.2182797	0.3432056	0.3261233
220	0.4709852	0.4098121	0.1717523	0.6156224	0.6663569	0.5192259	0.0748431	0.1311773	0.6876746	0.3967386	0.6118073	0.6350061	0.1451562	0.6188022	0.3744051	0.6616765	0.5918812	0.3006489	0.652333	0.5154212	0.5580678	0.4341734	0.3156341	0.4587235	0.6361156	0.1564985	0.4284576	0.1986172	0.6380374	0.1668209	0.390058	0.2527877
240	0.4600359	0.3655817	0.1399593	0.5865867	0.781517	0.4984683	0.0530939	0.0949531	0.6494667	0.4939322	0.6599332	0.7518134	0.1026603	0.5838081	0.3619959	0.7100077	0.5244008	0.2178114	0.6080602	0.4358617	0.5038157	0.455329	0.3732263	0.4223771	0.6853036	0.1797014	0.3591338	0.1587091	0.6097427	0.0857389	0.3073017	0.2619484
260	0.475733	0.4133682	0.1394194	0.7355958	0.62939	0.6319535	0.0702014	0.1053848	0.703476	0.4952217	0.69622	0.6382777	0.1427074	0.564319	0.389016	0.8625353	0.5032467	0.2050784	0.6696205	0.5522837	0.5887157	0.5297255	0.3418842	0.3485569	0.7343257	0.1954004	0.3003975	0.1894021	0.6328587	0.0889811	0.3437162	0.2380842
280	0.3149822	0.3246864	0.1618241	0.5941843	0.6170514	0.4295846	0.0859551	0.1102778	0.8593602	0.380041	0.7213879	0.717644	0.1219636	0.5574821	0.3757517	0.6497555	0.4684561	0.2109901	0.7356296	0.39814	0.4498312	0.4187192	0.2536594	0.322635	0.6758812	0.1699644	0.2745615	0.1438303	0.5571037	0.09649	0.3457693	0.2592975
300	0.3593948	0.3647281	0.1988016	0.7376794	0.6208327	0.5046522	0.0634321	0.0928434	0.6987227	0.37586	0.5616968	0.6617007	0.074161	0.3889155	0.3481735	0.6037992	0.5259657	0.1830855	0.6392178	0.4274873	0.5037514	0.4106628	0.2496798	0.4350507	0.6064623	0.1651204	0.2755476	0.132504	0.5657974	0.1047019	0.2650355	0.1686845
320	0.3853102	0.4411811	0.2381414	0.7081478	0.7384771	0.4493799	0.093064	0.1475161	0.6986635	0.302102	0.7652212	0.6167517	0.0948348	0.5439575	0.4126797	0.7356914	0.4894098	0.2075575	0.6142935	0.4869851	0.4813652	0.4945155	0.264582	0.3553711	0.7077334	0.1860031	0.3099711	0.1352442	0.6151235	0.055697	0.2642526	0.1766886
340	0.4780471	0.3680173	0.1752935	0.69139	0.6986958	0.4832413	0.0843967	0.0952735	0.6290862	0.448782	0.6297524	0.5338039	0.0748314	0.4883824	0.319931	0.682807	0.4774459	0.195562	0.6200217	0.4789429	0.5111111	0.4337906	0.269412	0.3113541	0.7170929	0.1389205	0.2884046	0.1464152	0.4457328	0.0753656	0.278277	0.3050997
360	0.5091092	0.3287456	0.1651028	0.6713725	0.6946882	0.4852761	0.0789585	0.1464906	0.7602541	0.4313552	0.7124382	0.7300814	0.1031005	0.4454898	0.3349227	0.9044869	0.4996832	0.2201578	0.7206889	0.4783372	0.4262744	0.4369444	0.3078179	0.3263643	0.6586664	0.1389427	0.2768427	0.1254769	0.6049326	0.065628	0.3004295	0.2372778
380	0.5059647	0.4428484	0.1202355	0.785703	0.6301026	0.4357711	0.0635426	0.1368067	0.6066357	0.4194666	0.6863108	0.6054768	0.1293541	0.4405555	0.3206017	0.7003448	0.6046107	0.1790972	0.6199365	0.3699883	0.4340328	0.385798	0.3412371	0.4501649	0.7584407	0.1359131	0.315814	0.1331893	0.5154622	0.0837048	0.313977	0.2100234
400	0.367426	0.3244323	0.1376905	0.6840723	0.7386607	0.349755	0.0574132	0.1208359	0.6444262	0.3530292	0.6852248	0.6931968	0.1298332	0.4929648	0.2904134	0.6933121	0.5718859	0.2152025	0.6603199	0.6215107	0.5381051	0.49403	0.3410989	0.3967507	0.6666159	0.1691061	0.2820805	0.1875841	0.5705939	0.1025539	0.3763239	0.2333185
420	0.3950501	0.3900554	0.0759632	0.6372304	0.9197647	0.399853	0.0435517	0.1112476	0.6925206	0.4223314	0.6921393	0.6988374	0.0733308	0.4718711	0.3035922	0.6951679	0.6101924	0.1653372	0.6851979	0.4507604	0.5660466	0.4961039	0.4389771	0.3634239	0.6466053	0.1716369	0.2362888	0.1200311	0.5954364	0.0710171	0.2619717	0.2388831
440	0.3307372	0.3631739	0.1534028	0.6278157	0.7950935	0.5032425	0.0622519	0.0993331	0.72729	0.3761023	0.6754096	0.6978964	0.109574	0.3901712	0.2981713	0.6511425	0.6269396	0.1423925	0.7452054	0.4822308	0.4098287	0.5105873	0.3352601	0.3555321	0.6024343	0.1197122	0.344566	0.1602593	0.5276534	0.1205402	0.2572637	0.1540608
460	0.4776198	0.4071127	0.1480396	0.7228992	0.6665483	0.4612324	0.0513943	0.1355453	0.7087377	0.3641991	0.7360152	0.7826241	0.1163602	0.5285685	0.3813041	0.6477808	0.6072417	0.1907189	0.701756	0.4656083	0.4466312	0.5013081	0.3761006	0.3046377	0.6831647	0.157949	0.2443965	0.1921328	0.5458942	0.1182643	0.3606529	0.2235805
480	0.4007586	0.3915276	0.1489924	0.6833067	0.6522447	0.4796029	0.0740525	0.1548959	0.6788822	0.3644288	0.6774236	0.761246	0.0771409	0.524341	0.4254481	0.6386277	0.584866	0.2161714	0.7371797	0.4730226	0.6235676	0.4816466	0.3445172	0.3497615	0.7284823	0.1210224	0.3080433	0.2136601	0.5272767	0.1506141	0.349016	0.3749208
500	0.4779267	0.4260564	0.1696674	0.6262638	0.7342953	0.3621987	0.1209161	0.1370944	0.7883852	0.3750271	0.6838369	0.8105656	0.063507	0.529758	0.2660569	0.7781695	0.5392661	0.1648142	0.6736107	0.4754282	0.5915064	0.5209812	0.3745495	0.3758779	0.7241186	0.1445573	0.3944995	0.1544973	0.5933343	0.1200425	0.2910797	0.2784518
520	0.4016652	0.4422319	0.137969	0.5690074	0.7820193	0.5107802	0.0931852	0.1069945	0.73513	0.4557923	0.6575433	0.747763	0.0802763	0.4703454	0.3572605	0.7973139	0.6198962	0.1914813	0.7750254	0.4778453	0.5919175	0.4541621	0.3442134	0.4194391	0.6257412	0.1907454	0.3821968	0.1403412	0.6609789	0.0890489	0.2892387	0.3381344
540	0.4219228	0.2985131	0.1676563	0.5453202	0.7383097	0.4243241	0.0656207	0.1005952	0.6908347	0.3571106	0.651858	0.7249343	0.0928679	0.5419188	0.3165229	0.6730767	0.6018232	0.162928	0.7217557	0.3849787	0.5246419	0.4502425	0.3933245	0.3145597	0.6793153	0.1623338	0.2637126	0.1395245	0.7097724	0.074359	0.2785669	0.2501369
560	0.4158361	0.3551742	0.2014069	0.6646844	0.6395166	0.4584691	0.1051406	0.1569199	0.7165943	0.370604	0.6309577	0.7396833	0.0831522	0.4920507	0.3001846	0.7579748	0.4607945	0.191675	0.7026561	0.5564462	0.581914	0.4899695	0.3402621	0.3661424	0.7299774	0.1246558	0.3315688	0.143368	0.6520623	0.0839457	0.2749069	0.231896
580	0.3253018	0.3007895	0.1288458	0.6579234	0.4994154	0.5466432	0.0937062	0.2053158	0.6689581	0.3250652	0.7627955	0.7261219	0.0894383	0.5123406	0.3631582	0.6233988	0.5580333	0.3799602	0.7868782	0.5569365	0.4819828	0.4998066	0.3603051	0.3480301	0.6175364	0.3171448	0.363437	0.1007938	0.4513297	0.0839179	0.2813965	0.3131298
600	0.4203356	0.4272491	0.1811402	0.5446233	0.627546	0.4981668	0.0686878	0.3016165	0.7372554	0.3275665	0.7556994	0.6391985	0.1511686	0.5823865	0.3766199	0.7543983	0.5156026	0.4893229	0.5821023	0.5595367	0.6310442	0.4630595	0.327178	0.453765	0.8095387	0.5717409	0.3872052	0.1186951	0.3752858	0.1666117	0.2774392	0.2716895
620	0.3529984	0.4648907	0.2147656	0.606746	0.6136394	0.5699688	0.0834527	0.3329345	0.6878544	0.3915914	0.7980118	0.5992643	0.126633	0.6459029	0.3822934	0.7172684	0.630953	0.4417148	0.6840818	0.470422	0.4649718	0.5124236	0.3728283	0.3712084	0.7071518	0.6059295	0.3407683	0.1899982	0.5093379	0.2705931	0.3699107	0.3685609
640	0.4874128	0.4791624	0.2165175	0.7156687	0.5142314	0.5186397	0.0727831	0.4381217	0.6703418	0.3432265	0.7467058	0.6046952	0.0803927	0.5490684	0.2894877	0.7116543	0.5516275	0.6176232	0.6512802	0.4700609	0.4764267	0.4456197	0.305029	0.316229	0.6623892	0.6491544	0.3125292	0.2418146	0.4233654	0.3577933	0.3410203	0.2728535
660	0.3289194	0.4988859	0.2181768	0.6079238	0.5923258	0.7036949	0.0736543	0.4164051	0.6650213	0.3691567	0.7286972	0.6739165	0.1462079	0.5707945	0.3317149	0.6675134	0.4729484	0.5653234	0.7630483	0.483604	0.4705369	0.3724253	0.2872961	0.4051441	0.6755465	0.6632352	0.31747	0.2454253	0.4826337	0.3869371	0.3824461	0.2768785
680	0.364811	0.4006579	0.1373026	0.602641	0.6283959	0.610322	0.1039916	0.3993442	0.6654271	0.4206044	0.6455151	0.675483	0.1134355	0.5991932	0.4148389	0.7382493	0.5649594	0.621287	0.7036797	0.4594547	0.5287221	0.4845108	0.2728829	0.485454	0.4883446	0.5490077	0.2544882	0.4912056	0.5215954	0.5411549	0.4231067	0.3383111
700	0.4939124	0.4350414	0.2002605	0.6357745	0.6076676	0.6665011	0.0861655	0.3619738	0.6744468	0.4142313	0.7029932	0.7337464	0.1216521	0.6283211	0.3459942	0.631226	0.6506682	0.6003701	0.6852762	0.4555234	0.5072862	0.4120198	0.3347938	0.3386271	0.6291484	0.5914705	0.3526915	0.3073375	0.4240895	0.5674296	0.4723196	0.3864572
720	0.3843726	0.3797104	0.1279057	0.7243818	0.6433893	0.7461611	0.061408	0.4548464	0.7213361	0.5419891	0.7517705	0.6970853	0.0959833	0.576623	0.3183876	0.6557568	0.5908385	0.6186138	0.6217055	0.4126492	0.5014936	0.5589001	0.2612271	0.3836664	0.593245	0.6426997	0.3620223	0.3753783	0.4247407	0.6558366	0.501358	0.4111384
740	0.3595776	0.3429186	0.1982691	0.5931574	0.7236187	0.7525197	0.0611275	0.4114585	0.6439438	0.4663229	0.7563387	0.6349389	0.1222092	0.532404	0.4525473	0.6607431	0.6150617	0.5580668	0.4719401	0.5024231	0.6347389	0.4073101	0.2108726	0.4401316	0.770032	0.5009841	0.3872362	0.367779	0.4101017	0.5783257	0.425212	0.3535179
760	0.4382458	0.4317795	0.2039332	0.5908584	0.5550633	0.7688604	0.0505497	0.5134256	0.5992966	0.5218956	0.7204488	0.7053406	0.1664681	0.503176	0.4555529	0.5908558	0.49887	0.7134356	0.5997984	0.4007457	0.5540076	0.5275005	0.2565924	0.3653097	0.6617214	0.5721958	0.3914857	0.3942865	0.5059627	0.5992151	0.4345654	0.3054724
780	0.4197503	0.4410821	0.1313151	0.5170698	0.6228765	0.711893	0.0417639	0.3453613	0.5458993	0.4651887	0.6718288	0.8175077	0.1323759	0.7364375	0.4364363	0.6629165	0.5942035	0.6184481	0.6606385	0.4506096	0.5309902	0.5007031	0.2675501	0.3632041	0.705894	0.5933844	0.3883957	0.4950554	0.4211577	0.5116817	0.4721597	0.3214371
800	0.3572467	0.436105	0.1235464	0.5398125	0.6738323	0.640609	0.0610569	0.4149386	0.5143902	0.6052045	0.830389	0.7069659	0.1814024	0.4988623	0.4163694	0.7333108	0.5759154	0.5608973	0.5639193	0.5093548	0.4752799	0.4825519	0.2195954	0.4175687	0.6651356	0.6877943	0.3415115	0.5598372	0.5326552	0.6009753	0.5458156	0.3153567
820	0.4746147	0.3901913	0.1446753	0.7076877	0.5943338	0.6373956	0.0904223	0.3244067	0.4513479	0.4646378	0.6441746	0.7301737	0.1740364	0.5239882	0.3461807	0.7344994	0.6159242	0.5614612	0.5956084	0.6344809	0.5589804	0.4425803	0.2612002	0.2872274	0.577798	0.468453	0.4235693	0.5448837	0.4057835	0.6617644	0.474097	0.354993
840	0.3704467	0.3072341	0.1775576	0.6471123	0.6351231	0.632329	0.0789102	0.3677008	0.4801308	0.614062	0.6773951	0.6336251	0.1938166	0.5328285	0.4409374	0.707429	0.5876436	0.6296445	0.7663294	0.6162236	0.4310867	0.4720496	0.304752	0.3491714	0.6729485	0.5605172	0.4731089	0.5632101	0.5623356	0.6834778	0.3869899	0.2735506
860	0.4996976	0.3904527	0.1363416	0.5284405	0.5752233	0.7361511	0.0698513	0.3914001	0.4902957	0.5092327	0.6279009	0.7042549	0.1030813	0.6203341	0.4418107	0.6659426	0.6827415	0.5540895	0.7275205	0.5925197	0.5390803	0.5683516	0.3160561	0.2962979	0.7226601	0.5741234	0.4239881	0.5301196	0.5483565	0.6090892	0.4038237	0.3108209
880	0.3317882	0.3025677	0.1621488	0.6089546	0.6764043	0.6667846	0.0377692	0.5345119	0.5121577	0.5534268	0.7508526	0.7631559	0.1208245	0.6212129	0.4073503	0.6520737	0.5879965	0.604973	0.6401337	0.4378129	0.5002538	0.4405434	0.400171	0.3910192	0.7249298	0.7361042	0.4559614	0.5634046	0.5275767	0.6663496	0.4641411	0.3551803
900	0.4422114	0.4016838	0.1412263	0.6263031	0.6726777	0.6354562	0.0725637	0.4261509	0.466598	0.5383462	0.6960323	0.6383467	0.0974294	0.5611701	0.3548869	0.7748797	0.5630802	0.6070751	0.7567085	0.4433174	0.6770248	0.4472228	0.2463774	0.3242562	0.7022702	0.6505681	0.5067686	0.5189764	0.5415147	0.7708271	0.4447926	0.3427911
920	0.5301247	0.3249033	0.1647849	0.5076783	0.639839	0.5924129	0.0842264	0.4499496	0.4801873	0.449031	0.6950846	0.5849045	0.0897146	0.4806239	0.4299067	0.6716856	0.6188049	0.5659495	0.6902928	0.4035887	0.5340924	0.4054298	0.3147089	0.2750349	0.7249642	0.6713086	0.4154763	0.451688	0.5449096	0.6933125	0.492518	0.4497972
940	0.4676444	0.2532973	0.1712445	0.5826591	0.5913958	0.6947308	0.0918836	0.4293844	0.4631836	0.4902311	0.7910536	0.7523187	0.0829547	0.5622056	0.3829676	0.7204106	0.6273395	0.6521317	0.5963556	0.3573091	0.5459836	0.548987	0.337391	0.2699144	0.613525	0.5745118	0.4770474	0.4599309	0.5562688	0.5256493	0.5129777	0.3432714
960	0.4866842	0.2790712	0.2476997	0.6606272	0.686615	0.7061992	0.0853361	0.4162338	0.5198271	0.4952717	0.5551122	0.6467953	0.116815	0.5358707	0.432138	0.7588679	0.4972518	0.5989059	0.6100626	0.3739161	0.5842925	0.5181237	0.2953823	0.2693067	0.5565311	0.583396	0.3717951	0.477123	0.5932795	0.7000041	0.3668042	0.3499309
980	0.4719277	0.4668299	0.1258882	0.6750168	0.6068564	0.6827357	0.0973651	0.4129792	0.5662376	0.5863473	0.617023	0.6717501	0.1257232	0.6304518	0.3392891	0.7192425	0.5955566	0.6595606	0.609577	0.4580022	0.5806644	0.4111878	0.3343712	0.2836831	0.6871204	0.6435977	0.4310647	0.5313317	0.5082157	0.624156	0.36701	0.3959924
1000	0.4782874	0.3838789	0.1974282	0.6160441	0.6612231	0.6458853	0.0736397	0.3446243	0.6007346	0.4849799	0.7176462	0.6321019	0.120607	0.66883	0.3962319	0.8306398	0.5763663	0.5497965	0.5682294	0.6054757	0.5789683	0.3744984	0.3656027	0.4144309	0.6441743	0.6872207	0.2969009	0.6071698	0.5925861	0.6347979	0.5660655	0.3852621
1020	0.3978025	0.3718197	0.188425	0.6356477	0.6926121	0.6430153	0.0539419	0.3947059	0.6071944	0.5679599	0.7159465	0.7327774	0.1870966	0.6335262	0.4252366	0.808573	0.6042005	0.6617503	0.5884015	0.469671	0.5623471	0.4929197	0.4104859	0.3114282	0.6507416	0.7045224	0.4102639	0.6186198	0.5030728	0.7519936	0.5979572	0.3501978
1040	0.4200098	0.366887	0.1039409	0.5773548	0.6637944	0.6346829	0.0462035	0.3749899	0.5856262	0.4227469	0.6825004	0.6596202	0.1174441	0.5307847	0.4321725	0.8201645	0.507731	0.6960123	0.7503266	0.382543	0.4373732	0.5985049	0.4101799	0.2997866	0.5883371	0.740926	0.4101717	0.476397	0.4623268	0.8047985	0.4874941	0.324354
1060	0.3997566	0.4252177	0.177407	0.5723553	0.5821025	0.5381422	0.0716249	0.5132708	0.5170027	0.6001583	0.7022327	0.7302329	0.1234195	0.523707	0.4387642	0.662468	0.5463752	0.7569931	0.7269982	0.4503605	0.5921783	0.3941273	0.3653714	0.4399051	0.6216927	0.7158846	0.3603108	0.501612	0.5531128	0.7794643	0.5245879	0.3646057
1080	0.3698203	0.442205	0.1307372	0.6402927	0.6651277	0.6335108	0.1276377	0.451727	0.4336411	0.5334156	0.6645933	0.6306843	0.1800049	0.5656666	0.3600384	0.8245487	0.6122633	0.7109755	0.745762	0.4415081	0.5077597	0.4685357	0.3464742	0.3585076	0.6464658	0.7270358	0.4211702	0.5075667	0.5712413	0.7173298	0.5257991	0.3344125
1100	0.3629017	0.3312343	0.1576554	0.6498961	0.6722674	0.686087	0.0703964	0.3594006	0.4278349	0.4920759	0.6128451	0.6043625	0.0701542	0.5487093	0.5146019	0.4869103	0.6216286	0.6277231	0.7074053	0.4812106	0.5712337	0.520339	0.3356169	0.3627505	0.6583519	0.6890368	0.4521202	0.5150029	0.4357946	0.7975239	0.5226995	0.372382
