crp	prpR	+
crp	prpB	+
crp	prpC	+
crp	prpD	+
crp	prpE	+
crp	feaR	+
crp	rbsK	+
crp	rbsR	+
crp	rhaR	+
crp	zraS	+
crp	agp	+
crp	crp	+
crp	zraR	+
crp	malI	-
crp	malX	-
crp	malY	-
crp	melA	+
crp	melB	+
crp	mtlA	+
crp	mtlD	+
crp	rbsA	+
crp	rbsB	+
crp	rbsC	+
crp	rbsD	+
crp	rhaD	+
crp	rhaA	+
crp	rhaB	+
crp	mtlR	+
crp	melR	+
crp	rhaT	+
crp	ychH	+
crp	rhaS	+
malI	malI	-
malI	malY	-
malI	malX	-
melR	melA	+
melR	melB	+
melR	melR	-
mtlR	mtlA	-
mtlR	mtlR	-
mtlR	mtlD	-
prpR	prpD	+
prpR	prpR	-
prpR	prpB	+
prpR	prpC	+
prpR	prpE	+
rbsR	rbsA	-
rbsR	rbsB	-
rbsR	rbsR	-
rbsR	rbsD	-
rbsR	rbsK	-
rbsR	rbsC	-
rhaR	rhaR	+
rhaR	rhaS	+
rhaS	rhaT	+
rhaS	rhaA	+
rhaS	rhaB	+
rhaS	rhaS	+
rhaS	rhaR	+
rhaS	rhaD	+
zraR	zraR	+
zraR	zraS	+
