argP	dnaA	phoB	recF	dnaN	nrdA	nrdR	fis	mtlR	marR	nrdB	guaB	mtlD	mtlA	guaA	marB	glyU	valX	phnK	lysV	glnV	phnP	phnH	leuV	pheU	psiF	topA	aspV	thrU	phnG	alaW	tyrU
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.20200856821611524	-0.24825308016956082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.914709740404233	0.0	0.0	0.0	0.0	0.7709598226219249	0.5225964537124704	0.0	0.660983372271247	0.1783990817030534	0.12716713336178526	0.7404663474061649	0.0	0.0
0.6220301848697884	0.0	0.0	0.7817765307638899	0.0	0.0	-0.4406537073664367	0.0	-0.1363400537520647	0.0	-0.4459034712673511	0.0	0.0	0.0	-0.20501858182251453	-0.3746656216949331	0.4697364993183485	0.0	0.0	0.0	0.0	0.0	0.713493650543003	0.0	0.0	0.0	0.9170251211861147	0.0	0.0	0.8816057450366329	0.0	0.0
0.0	0.0	0.7774524770032067	0.0	0.0	0.0	-0.3675055007915944	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.21501208355539614	0.027416985786946756	0.0	0.0	0.0	0.0	0.856709044781899	0.0	0.7615043431732637	0.0	0.0	0.0	0.5127502911610171	0.0	0.5405622736779164	0.0	0.0
-0.0011612460621224126	0.0	0.0	0.6074979112975404	0.0	0.0	0.0	0.0	0.0	0.3322611671268172	0.0	0.0	0.0	-0.35530763980932534	0.0	-0.6169567334268349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00661260557620047	0.0	0.0	0.5353455443644894	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.3934813605155796	0.0	-0.15084878528945378	-0.30553125270319836	0.0	-0.5817221901379526	0.0	-0.14247115422040224	-0.5568087948754536	0.9125908548733762	0.5710597355713968	0.9414739474581626	0.9327954820024005	0.0	0.0	0.0	0.0	0.4626163809328895	0.2327154024407158	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.8337356785598595	0.12581665776931794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.40866842586547136	0.0	0.0	0.1087668226821891	0.0	0.0	0.0	0.0	0.0	0.8197894964799868	0.2187337853692305	0.0	0.22592715447730222	0.0	0.6042231411093488	0.7107282476301627	0.0	0.9627976876101068	0.0
0.0	0.0	0.0	0.0	-0.15006154672671634	0.09559725004373287	0.0	0.0	0.0	0.0	0.0	0.0	-0.9954133555293083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1731387432879651	0.22981493047570248	0.0	0.0	0.0	0.0	0.1827044913323595	0.0	0.0	0.780040195653693	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.3502878796111899	0.0	0.0	0.0	0.7387713820340267	0.15176084709641283	0.0	0.0	0.0	0.0	0.0	0.0	0.6470174993274376	0.0	0.0	0.94717249342935	0.9239137976420332
0.0	-0.435266938759014	0.0	0.03515280396939369	0.0	0.0	-0.37583376676775515	-0.22858585184440017	0.0	0.0	0.0	0.0	-0.2737911525182426	-0.8159199201036245	0.0	-0.23206019078270668	0.06463657280193483	0.7960517032401536	0.38098657512311607	0.0	0.6171384426048839	-0.013284982292527375	0.0	0.9097612061749977	0.0	0.28013829881287017	0.16373736087810237	-0.009614414872823662	0.0	0.0	0.0	0.675030218948539
0.0	-0.7814828276168555	0.0	0.0	0.10120304939839464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.30401494982652366	0.0	-0.7617107874248177	0.0	0.0	0.0	0.9717525344735083	0.0	0.0	0.6209083275230731	0.217128695451154	0.0	0.0	0.37542082899211743	0.0	0.0	0.0	0.313011385243864	0.32808990938352256	0.9514057853249122
