lldR	arcA	betI	xylR	gadX	torR	rutR	gadW	nemR	gadE	gadA	hdeB	yhiD	hdeA	gadC	cadA	cadB	gadB	mdtE	mdtF	betB	betT	lldD	gadY	betA	lldP	nemA	slp	dctR	hdeD	rutD	rutA
0.0	-0.32916020043194294	0.0	0.0	-0.11766100845683869	0.0	0.0	0.0	0.0	0.0	0.003960375325303911	0.0	0.0	0.5718020672784857	0.0	0.0	0.0	0.0	-0.09108716572876067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.7999710030853748	0.0	0.0	0.0	0.0	0.0
-0.036681403405964375	0.0	0.0	0.0	-0.13134642511990424	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10928780259736709	0.0	-0.23368260683491826	-0.8398982789367437	0.0	-0.1843744684010744	0.0	0.0	0.0	0.9146010834986189	0.9056159407735932	0.7885193560568813	0.0
-0.10489868884906173	0.0	0.0	0.0	-0.39516405256849285	0.0	0.0	0.0	-0.036415148759260774	0.08312378796805246	0.0	0.31084659403829634	0.0	-0.03943995299137017	0.27995782998283825	0.0	0.10006502712072465	0.46802066297503747	0.8104850095952025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6247316224870402	0.1492852639703277	0.0
0.0	0.0	0.0	0.0	0.26891875608439986	0.0	0.0	-0.29346375985495377	0.0	0.0	-0.19552962190889156	0.0	0.0	0.0	0.0	0.3479843692907686	0.0	0.0	0.0	0.6222572601417535	0.0	0.0	-0.7726575855631381	0.0	-0.9465419312473387	0.0	0.0	0.0	0.28708082030358106	0.0	0.3721880017610464	-0.0017015509730529121
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29928603491504696	0.0	0.0	0.0	0.0	0.08287627067212108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	-0.18505008053034544	-0.6772773240227252	0.0	0.0	0.0	0.0	0.0	0.0	0.5729596584202776	0.0	0.0	0.0	0.0	0.0	0.0	0.2975363302875462	0.0	0.25133328445014563	0.0	-0.6729360318277031	-0.29451376385986805	0.0	0.18946089017000142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.043587016356582575
0.0	0.0	-0.8241104185581207	0.0	0.0	-0.7145347513724118	0.0	0.0	0.0	0.0	0.2580980566567894	0.59226089796691	0.0	0.0	-0.29712672647195437	0.0	0.22316820802094076	0.0	0.0	0.5287002043350124	-0.2832502946257591	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9031548473315159	0.0	0.0	0.16077343193308002
0.0	0.0	0.0	0.1590561875944032	0.0	0.0	0.0	-0.4111257738289945	0.0	0.7022276692656855	0.0	0.0	0.0	0.45147517969512563	0.0	0.0	0.0	0.0	0.17095210429039803	0.0	0.0	0.0	0.0	0.0	-0.21731506567448378	-0.24427295275499517	0.0	0.0	0.12133761181326896	0.0	0.0	-0.15157483536324912
0.0	0.0	0.0	0.45765901844585377	0.0	-0.0980142392218113	0.0	0.0	0.0	0.07890708717573984	0.0	0.6585005585726982	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.776520024985075	0.0	0.0	0.0	-0.8225526218302548	0.0	0.0	0.0	0.4123434607202032	0.0	0.0	0.0
0.0	-0.9750615954399109	0.0	0.0	0.0	0.0	-0.3125096051953733	0.0	0.0	0.0	0.0	0.18704618361486852	0.012733271604553037	0.0374798809053115	0.0	0.0	0.0	0.0	0.0	0.6871128031069869	-0.6714327700901777	-0.6688092844560742	0.0	0.2666987439503903	0.0	-0.49882464864758247	0.0	0.0772845372890458	0.0	0.0	0.42698033445684347	0.0
