slyA	hlyE	hns	cspA	bolA	stpA	bglJ	leuO	cadC	nhaR	bglF	bglB	bglG	yjjQ	nhaA	osmC	cadB	cadA	gspB	leuA	ampC	yciF	proW	smtA	leuC	gspO	yciG	pgaC	proV	pgaA	leuL	pgaB
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.27490872288880097	0.0	-0.7143521762918681	0.0	-0.479358448414132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3596199408336976	0.0	0.4076242083067792	0.0	0.0
0.0	0.3831189128971294	0.058851610518935615	-0.8732952137943357	-0.2324530251789838	0.0	0.9006112745343482	0.3739589565540338	0.06766443088701457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.9370227244216949	0.0	0.03130510014913612	-0.6221088566817343	-0.5775594171136618	0.0	0.0	0.0	-0.7255381250288337	0.0	0.0	0.0	0.0	0.0	0.9462879860598985
0.0	0.8554474754194364	0.0	0.0	-0.022173978621140122	-0.4945917821023613	0.9341901528029477	0.0	0.0	-0.35572529560886323	0.8648355374522481	0.27001234085103454	0.0	0.0	0.0	0.0	-0.20392266171984375	0.0	0.0	0.7869881292196327	-0.3086272298824042	0.0	0.0	0.0	0.0	-0.24379075644537807	-0.7528221730608493	0.0	0.0	0.0	0.0	0.0
0.0	0.37825836506025945	0.0	0.0	-0.9513396881520748	-0.11186939780600369	0.0	0.0	0.3764833255582908	-0.6617088832426816	0.0	0.0	0.0	0.0	0.0019524112886626366	0.0	-0.5101029595825821	0.0	-0.8418511520139873	0.0	-0.28960340819321573	-0.21080064214766026	-0.5435009775683284	0.0	0.0	0.0	0.0	0.8878396595525988	0.0	0.7310615302379029	0.0	0.9503994741768036
0.0	0.08376318318123077	0.0	0.0	0.0	-0.3189104318153113	0.2335764683163499	0.8798157964939857	0.0	0.0	0.0	0.0	0.0	0.0	-0.4735424687077414	0.0	-0.7398035048972815	0.0	-0.26376518001779914	0.0	0.0	-0.715792472474277	0.0	0.9377917953425328	0.0	0.0	-0.30198241700418293	0.0	0.0	0.0	0.8575278161537879	0.0
0.0	0.0	0.4822103729228857	0.0	-0.6172688635997474	-0.5047355550341308	0.0	0.0348600541348243	0.0	0.0	0.11014455179124805	-0.062133411999885424	0.2856076161750396	0.0	0.03954207306568214	0.0	-0.952160723041743	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49576947343084826	-0.3124918357934803	0.0	0.0	0.0	0.0	0.0	0.0
-0.3949863438028842	0.0	0.0	0.0	-0.8118615213315934	-0.0019176334608346224	0.0	0.0	0.0	-0.8885000681038946	0.0	0.0	-0.24141595560118656	-0.4700113442243372	0.0	0.0	0.0	0.0	0.0	0.7937440104639494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21539918700950675	0.5707193442445639
-0.7707549608312547	0.5115975039946482	0.0	0.0	-0.3202377518173307	0.0	0.0	0.0	0.32685692393271715	-0.0027028555050492287	0.0	0.0	0.0	0.0	0.0	0.0	-0.17826988245360553	0.0	-0.17159131006337702	0.4172988695415073	0.0	0.0	-0.48638713476248085	0.0	0.03644862555447829	-0.2475119789596647	0.0	0.4022697454481819	0.0	0.0	0.0	0.3888666349754129
0.0	0.26867781658010637	0.0	-0.7592655455227941	0.0	0.0	0.12471949111993962	0.13362420523675622	0.0	-0.25547301839105785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.5582092418335378	0.0	-0.7301053383853287	0.0	0.8073518107972653	0.0	0.0	0.0	0.0	0.0	0.0	0.30323003458906156
0.0	0.17048239041404878	0.0	0.0	0.0	0.0	0.0	0.6622553571234131	0.40438568982346446	0.0	0.7015819854047123	-0.04062941426606892	-0.353091795938016	0.0	0.0	0.0	-0.8087445423007011	0.0	-0.2674594474956393	0.0	0.0	-0.5548649784177542	0.0	0.0	0.0	0.0	0.0	0.0	-0.38015523995272815	0.5699858564733313	0.576424494802677	0.0
