hupA	fis	mtlR	marR	marA	rob	putA	glcC	xylR	hupB	marB	micF	pgm	seqA	zwf	xylH	inaA	nfo	xylF	xylG	ygiA	ygiB	tolC	ygiC	mtlD	mtlA	fumC	tyrP	mtr	galM	galK	galE
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8977942836029293	0.0	0.0	0.0	-0.05167747413886714	0.0	0.0	0.0	0.3126617208135145	0.0	0.580555586521627	0.0	0.0	0.0	-0.7852792199701071	0.0	0.0	0.0	0.0	-0.21808084193617105	0.0
0.0	-0.287182598374784	0.0	0.0	0.0	0.0	0.0	-0.4963271589949727	0.0	-0.8205665743444115	0.0	-0.004343648764693515	0.0	-0.27563094766810536	0.6405684431608542	0.0	0.0	0.5053786139432764	0.37474561669007556	0.0	0.0	0.510409713634403	0.0	0.40950417265881534	-0.3078688383102417	0.0	0.0	0.0	0.0	-0.8032700954936445	0.0	-0.8294520271010697
0.324126469131625	-0.23033760744147003	-0.48321327194571495	0.0	0.3223358820473817	0.0	0.0	-0.3186344059649855	0.0	-0.918095245026052	0.0	0.10299451221021139	0.0	0.0	0.17838050337170794	0.0	0.0	0.0	0.0	0.0	0.8110508214480351	0.7966800133279726	0.2657030939222181	0.0	-0.26469758339226246	0.0	0.0	0.0	-0.6054207067936659	0.0	0.0	-0.7836519486736506
0.7063528370783392	0.0	0.0	0.0	0.0	0.0	-0.24577777925726585	0.0	-0.2624165931124661	-0.20893014455214143	0.0	0.0	-0.3124174743425101	-0.6978293880820274	0.29054397373122703	0.0	0.22642957508794245	0.012118693204638945	0.0	0.0	0.0765689812864284	0.0	0.2058319216226095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.07684598787118231	0.0	0.0	0.0	0.0	0.0	-0.8277670959942043	0.0	0.37194925933385514	0.0	0.0	0.0	0.0	0.0	0.0	0.16998351528384406	0.48820257946036927	0.0	0.0	0.07510492341638147	0.0	-0.5339666015934199	-0.6134944397490472	0.7198811184903959	0.0	-0.6332543718162924	0.0	-0.1592545749153942	-0.7863393414299935
0.0	-0.48887327522970736	-0.4707200317643583	0.0	0.6645640122519848	0.0	0.0	-0.723442099057138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.029212735911440135	0.0	0.7940544236880219	0.0	0.0	0.0	0.0	0.0	0.0	-0.8154945850837976	0.0	0.0	0.0	-0.0726646815892309	-0.6230973536148667	0.0	0.0
0.0	0.0	0.0	0.6424795144087497	0.0	-0.5798134075012058	0.0	0.0	0.0	0.0	-0.2550852505151484	0.0	0.0	0.0	0.06532592890446616	0.0	0.0	0.0	0.8893489963382544	0.0	0.0	0.0	0.0	0.6685152806213939	0.0	0.0	0.0	-0.8983527820091695	-0.7533851719927043	0.0	0.0	0.0
0.0	-0.06579853664152324	0.0	0.0	0.1548369908055333	-0.5277051781304181	0.0	0.0	0.0	0.0	0.0	0.0	-0.27621087059378624	0.0	0.052474102290697225	0.19766148264372718	0.5130367097095329	0.0	0.0	0.3284954395157116	0.943883102041028	0.657049286789374	0.37024010830604076	0.013585260171710828	0.0	-0.6138460817746818	0.7735278650476018	0.0	0.0	0.0	0.0	0.0
0.0	0.0	-0.9278842124622315	0.0	0.0	0.0	0.23390919645469077	0.0	0.3099462137683805	-0.7589203012175858	0.0	0.9420211456274452	0.0	0.0	0.0	0.39690410919340324	0.0	0.6100996693093753	0.0	0.0	0.0	0.0	0.0	0.7502232757734948	-0.3618484288454056	0.0	0.0	-0.902475334238261	0.0	0.0	0.0	0.0
0.678022166641495	-0.1116170019377023	0.0	0.0	0.05420103569534099	0.0	0.3036865636255909	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023443614185206425	0.0	0.0	0.0	0.678644578671834	0.0	0.7425932587388079	0.221321481424497	0.16089943676300883	0.0	0.0	0.0	0.8980052394150178	0.0	0.0	0.0	-0.589416797272861	0.0
