fur	fur	-
fur	metH	-
fur	metJ	-
fur	purR	-
fur	sodA	-
fur	rcnR	+
fur	rcnA	-
fur	mntH	-
fur	fhuF	-
marA	pqiB	+
marA	pqiA	+
marA	marB	+
marA	marR	+
marA	marA	+
marA	inaA	+
marA	rfaY	+
marA	rfaZ	+
marA	fumC	+
marA	fpr	+
marA	nfo	+
marA	poxB	+
marA	purA	-
marA	sodA	+
marR	marA	-
marR	marB	-
marR	marR	-
metJ	metR	-
metJ	ahpC	-
metJ	ahpF	-
metJ	metA	-
metJ	metE	-
metR	glyA	+
metR	metR	-
metR	metE	+
metR	metH	+
metR	metA	+
oxyR	mntH	+
oxyR	fhuF	-
oxyR	uof	+
oxyR	ahpF	+
oxyR	ahpC	+
oxyR	oxyR	-
oxyR	fur	+
purR	glyA	-
purR	purA	-
purR	purR	-
rcnR	rcnR	-
rcnR	rcnA	-
soxR	fumC	+
soxR	soxR	-
soxR	soxS	+
soxS	inaA	+
soxS	rfaY	+
soxS	rfaZ	+
soxS	marA	+
soxS	marR	+
soxS	marB	+
soxS	pqiA	+
soxS	pqiB	+
soxS	uof	+
soxS	soxS	-
soxS	sodA	+
soxS	poxB	+
soxS	nfo	+
soxS	fpr	+
soxS	fur	+
soxS	fumC	+
