ihfA	hipB	hipA	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcF	tdcB	tdcE	tdcC	tdcG	tdcD	yiaK	sgbU	yiaO	yiaN	sgbE	sgbH	yiaL	lyxK	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF
0.0	0.0	0.0	0.05340658770763358	0.5024202480418135	-0.35182622796855867	0.0	-0.7298142816871405	0.0	0.0	0.017333423750901612	0.023909475034643503	0.0	0.0	0.0	0.7693557385458051	-0.02404389862055356	-0.6921509630046785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.7796921674162149	-0.04193948698230088	0.13491162806294968	0.45761568041304695	0.0	0.0	-0.297700232360512
-0.9059927340131253	0.0	-0.2602298291256508	0.0	0.0	0.0	-0.7082240260206163	0.0	0.0	0.0	0.0	0.1444903086727304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.13607567506201645	0.3569266750447988	0.0	0.0	0.8448276939474751	-0.8262238008901477	0.0	0.7193300072989623	0.0	0.7498016793242955	0.0	0.0
0.0	0.0	0.0	0.6237906086247512	0.0	-0.7387684509158134	0.0	-0.6236031041480601	0.0	0.019497648513334038	0.0	0.0	0.0	0.0	0.0	0.8769955313867329	0.0	-0.8976317527703941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.7198171203490347	0.0	0.0	0.3763218217491472	0.0	0.0
-0.1937888776883483	0.0	0.0	0.7040157210070738	0.855287768688937	0.0	-0.8231764952652156	0.0	-0.19251687126234174	0.6231957664046606	0.48574669313100916	0.0	0.0	0.0	0.10036271719958723	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5371907585053486	0.0	0.0	0.0	-0.4138313294388354	0.0	0.0	0.38001894792163016	0.609028857758903	0.0
-0.6692332644015551	-0.5725457908120006	0.0	0.5925909815345057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9575872349628307	0.0	0.4090040992116926	0.0	0.0	0.0	0.6037722513529364	0.509527712088897	0.0	0.0	0.0	0.0	0.0	-0.3945207786746323	0.3090456156945985	0.0	0.8855557945053393	0.0	-0.6766345433425158
0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.08277156623080373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.09408965875478859	0.0	0.0	0.0	0.0	0.0	0.0	0.3223694875751837	0.0	-0.24770844215527177	0.0	0.0	0.0	0.0	0.28931518467020345	0.0
-0.8888146905228496	0.0	-0.11376017554158774	0.0	0.0	0.0	0.0	0.0	0.0	0.7989234350886365	0.0	0.0	0.0	0.0	0.0	0.1979313644217698	0.2309375521159691	0.0	0.2008073297965251	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34028736110397817	0.0	0.0
0.0	-0.24014673265628517	0.37625712190327737	0.49596532401518006	0.0	0.0	0.0	0.0	0.0	0.751060796136426	0.0	0.044927674657274576	0.36209938600327685	0.0	0.0	0.0	0.0	-0.07504864898510277	0.4358720533254467	0.006958910215914704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3490964326799904	0.8008141187447423	0.0	-0.9644971690140665
0.0	0.0	0.0	0.7235406359180906	0.0	-0.1870377636514604	-0.7048383697401732	0.0	0.0	0.0	0.0	0.0	0.7561136318337531	0.04317707946347673	0.0	0.0	0.08037260983986383	0.0	0.0	0.0	-0.1160501032537975	0.0	-0.20594996039431862	0.0	0.0	0.0	0.0	0.853842477169932	0.0	0.952094130027976	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	-0.9969770761672407	0.0	0.0	0.9011373288728466	0.43309399092985135	0.0	0.0	0.0	0.0	0.0	-0.3365483449873554	-0.8737651004921645	0.33460183820528017	0.0	-0.4345267631980785	-0.023049582404217173	0.36257530317965575	0.0	0.7582757126678487	-0.8163311819080263	0.0	0.0	0.0	0.04474350674630345	0.0	-0.26843775855377316
