argP	recF	+
argP	nrdB	+
argP	nrdA	+
argP	dnaN	+
argP	dnaA	+
dnaA	recF	-
dnaA	nrdB	+
dnaA	nrdA	+
dnaA	guaA	-
dnaA	guaB	-
dnaA	dnaA	-
dnaA	dnaN	-
fis	guaA	-
fis	guaB	-
fis	mtlA	-
fis	mtlD	-
fis	marR	+
fis	marB	+
fis	mtlR	-
fis	fis	-
fis	leuV	+
fis	lysV	+
fis	pheU	+
fis	nrdA	+
fis	nrdB	+
fis	topA	+
fis	thrU	+
fis	tyrU	+
fis	valX	+
fis	alaW	+
fis	aspV	+
fis	glnV	+
fis	glyU	+
marR	marB	-
marR	marR	-
mtlR	mtlA	-
mtlR	mtlR	-
mtlR	mtlD	-
nrdR	nrdA	-
nrdR	nrdB	-
phoB	argP	+
phoB	phnG	+
phoB	phnH	+
phoB	phnK	+
phoB	phnP	+
phoB	phoB	+
phoB	psiF	+
