araC	crp	rhaR	rhaS	melR	malI	feaR	zraR	mtlR	rbsR	rbsD	rbsA	araA	rhaA	araB	zraS	araG	rbsB	melA	rbsK	melB	araF	rbsC	rhaB	rhaD	araJ	araD	araE	malX	araH	malY	xylA
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07235908534008885	0.2681354710375877	0.4895489818841417	0.208624623882966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7148824145776274	0.0	0.1660938044011461	0.0	0.31961937601077706	0.0	-0.22364347366051662
0.0	0.0	0.022132312215711672	0.37021964927196555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17054174634076427	0.0	0.0	0.0	-0.013484312054319436	0.0	0.0	0.0	0.0	-0.14785370719619095	0.19701169771802243	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.514799369257372	0.0	0.0	0.0	0.0	0.0	0.4671210702103636	0.0	-0.8230754232499748	0.0	0.7665304581218666	0.0	0.0	0.0	0.0	0.0	0.9244381987914642	0.19761810095925803	-0.27788856228464043	-0.451788067817688	0.0	0.0	0.0	0.0	0.0	0.0	0.5727255323718108	0.0	0.0	0.0	0.0	-0.404620778359416
0.0	0.0	0.0	0.13319101742461376	-0.3884084221777787	0.0	0.0	0.0	-0.7561498810537159	0.0	-0.006010296516745707	0.0	0.0	0.11129334083206724	0.3345718248989793	0.0	0.0	0.10932576207389111	0.0	-0.8588747475296259	0.0	0.0	-0.9639888990204781	0.0	0.0	0.38563586936714667	0.0	0.6476573757760095	0.0	0.0	-0.2695450133178383	0.0
0.0	0.0	0.0	0.0	-0.05487545969535612	0.0	0.0	0.49851947708057043	0.0	0.0	0.4203238631648278	-0.13725017801537348	0.0	0.0	0.24674742182347797	0.15905712358746546	0.0	0.0	0.0	-0.8804887044243515	0.0	0.7266482916816709	0.0	0.8477767171869856	0.0	0.0	0.0	0.5489125302925574	-0.7963663830887526	0.0	0.0	0.0
0.0	-0.724220838630572	0.0	0.0	0.0	-0.6524625222664326	0.494321893627297	0.0	0.0	0.0	0.0	0.0	0.4847137103313862	0.0	0.0	0.48471513693313917	0.1581458158284624	0.0	0.0	0.0	0.0	0.0	-0.8106281242799014	0.6894874134166967	0.0	0.05608286524573877	0.0	0.6912134468953924	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.7053790681435919	0.03666322800691224	0.0	0.16775959679531666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.2029057030903617	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7857801025084026	0.0	0.0	0.0	-0.30539292888715863	-0.11673634646827269
0.0	-0.1606047700624913	0.0	0.0	0.0	0.0	0.4528533089500925	0.65100220462309	0.0	0.8794244837770534	0.0	0.0	0.0	0.2404270798750944	0.0	0.0	0.0	0.5659748291870671	-0.38402458046213483	0.0	0.0	0.0	-0.6655920755583793	0.0	0.0	0.0	0.4035512581749625	0.0	0.0	0.0	-0.0772661198861897	0.0
-0.01949787722857657	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44476550701570566	0.0	0.0	0.541295579666344	0.0	0.0	0.36171569930913045	0.0	0.0	0.0	0.0	0.0	-0.6885436254087836	0.0	0.0	0.21906123335855618	0.8400450579638399	0.2153479098275172	0.0	0.6091912621944711	-0.944122136104852	0.0
0.0	0.0	0.10311848184823592	0.0	0.0	0.0	0.0	0.0	-0.2322126324288547	0.9261584463818294	0.0	0.0	0.0	0.0	0.1405534402244153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14283725249032095	0.0	0.6225006724640595	0.0	0.0	0.0	0.013037517122981068
