csgD	csgF	+
csgD	csgG	+
csgD	csgD	+
csgD	csgE	+
hipA	hipB	-
hipA	hipA	-
hipB	hipA	-
hipB	hipB	-
ihfB	ihfB	-
ihfB	hipB	+
ihfB	hipA	+
ihfB	ompC	-
ihfB	ompF	-
ihfB	ompR	-
ihfB	tdcA	+
ihfB	tdcB	+
ihfB	tdcC	+
ihfB	tdcD	+
ihfB	tdcG	+
ihfB	tdcF	+
ihfB	tdcE	+
ihfB	yeiL	+
ihfB	yiaJ	-
ihfB	yiaK	+
ihfB	yiaL	+
ihfB	yiaM	+
ihfB	yiaN	+
ihfB	yiaO	+
ihfB	lyxK	+
ihfB	sgbH	+
ihfB	sgbU	+
ihfB	sgbE	+
ihfB	micF	-
ihfB	sra	+
ompR	csgD	+
ompR	csgF	+
ompR	csgG	+
ompR	micF	+
ompR	sra	-
ompR	ompF	-
ompR	ompC	+
ompR	bolA	-
ompR	csgE	+
tdcA	tdcC	+
tdcA	tdcD	+
tdcA	tdcG	+
tdcA	tdcF	+
tdcA	tdcE	+
tdcA	tdcA	+
tdcA	tdcB	+
tdcR	tdcE	+
tdcR	tdcA	+
tdcR	tdcB	+
tdcR	tdcC	+
tdcR	tdcF	+
tdcR	tdcG	+
tdcR	tdcD	+
yeiL	yeiL	+
yiaJ	yiaN	-
yiaJ	yiaM	-
yiaJ	yiaL	-
yiaJ	yiaK	-
yiaJ	yiaO	-
yiaJ	sgbE	-
yiaJ	sgbU	-
yiaJ	sgbH	-
yiaJ	lyxK	-
