ihfB	hipA	hipB	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcG	tdcF	tdcB	tdcD	tdcE	tdcC	lyxK	yiaN	yiaO	sgbH	sgbE	sgbU	yiaK	yiaL	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF
0.0	0.0	0.0	0.0	0.0	-0.11719901137985289	0.0	-0.24723329045809805	0.0	0.0	0.0	0.0	0.6369720523497133	0.0	0.171410651429098	0.0	0.0	0.557163502578449	-0.9358173157088459	0.0	0.30199613856100693	0.0	0.0	-0.02743630302155553	0.10837801237877742	-0.46589263442200757	0.0	0.0	0.0	0.3482468695217038	0.0	-0.8783349147997797
-0.4495994111057371	0.0	0.0	0.0	0.5815297262216955	0.0	-0.26119727501645684	-0.5542016646359116	-0.8909314237535	0.0	0.0	0.0	0.770337972861719	0.0	0.0	0.8672750567024948	0.0	0.2540459619134781	-0.5866026307921857	0.0	0.0	0.0	0.8128439096251064	0.0	0.0	0.0	0.0	0.6486296091354256	0.0	0.0	0.0	0.0
-0.6830123376566917	0.0	0.0	0.0	0.40110035887314377	0.0	0.0	0.0	-0.8951295102015138	0.19609430762321234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.6226560208015144	0.2657579207178066	0.1654771942733343	-0.24635481578297913	0.1470599036180908	0.0	0.027389830158169426	0.0	0.4051003424402822	0.5447212281762426	0.0	0.0	-0.25908251223154366	0.0
0.0	0.0	0.0	0.0	0.3359364296249151	0.0	-0.09445500886067748	-0.8641519707161933	-0.39960768120363355	0.0	0.5617543504430776	0.7847333881588092	0.2252320205578624	0.11499693203548544	0.0	0.0	0.16746494668716655	0.0	0.0	0.0	0.37347258362868085	-0.5986545579507947	0.0	0.25199954742548825	0.0	0.0	0.0	0.0	0.0	0.8440410698601271	0.0	-0.9942878540605307
0.0	0.0	0.0	0.8503383472431442	0.0	0.0	-0.07393932691775262	0.0	0.0	0.0	0.0	0.0	0.14224081866164195	0.0	-0.022031465295229216	0.9318867724327745	0.0	0.0	0.0	0.0	-0.56680998750082	0.0	0.0	-0.3504536950962448	0.0	0.0	-0.005741574014673734	0.0	0.0	0.0	-0.9715353555511683	-0.9518718323670328
0.0	0.0	-0.6443283655680716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.903887262926144	0.7687021003154477	0.3931750197215049	0.0	0.0	0.5662463847952338	0.0	0.23223656022438083	-0.319845138117671	0.0	0.0	-0.8812942847143859	0.0	0.0	-0.5934721234318958	0.0	0.26813760245670865	0.7892853723498796	0.0	0.0	-0.18164659664034843	0.0
0.0	0.0	0.0	-0.0020052667371938428	0.0	0.0	0.0	-0.06241923361085355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9015808192020657	0.0	0.0	-0.9393910178914666	0.0	0.0	0.0	0.0	-0.006783338543196904	0.0	0.0	0.0	0.0	0.8400233566279011	0.0	0.0	-0.5036293524317443
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.9627848230302334	-0.03711022129900275	0.7688629975399798	0.0	0.0	0.0	-0.04777148154703166	0.0	0.3581793862971859	0.6436914454911021	0.0	0.0	0.0	-0.9966925545595586	0.0	0.0	0.15733689576674537	0.0	-0.4747875939636927	0.0	0.0	0.9003146701795275	-0.8193224128335714	-0.685888905543834
-0.6050656146835536	0.0	0.0	0.04544513345323406	0.0	-0.8296582761686295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27053509914497004	0.0	0.0	0.0	0.0	0.0	0.9342946695612305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.5481021804735065	0.0
-0.43421001150272787	-0.25388727855739307	-0.40857904660515487	0.21181241677701376	0.0	0.0	0.0	0.0	-0.595447622705251	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.29102015512814655	0.0	-0.5563366068527102	0.0	0.0	0.0	0.0	-0.4753987673206085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
