Time	Gene1	Gene2	Gene3	Gene4	Gene5	Gene6	Gene7	Gene8	Gene9	Gene10	Gene11	Gene12	Gene13	Gene14	Gene15	Gene16	Gene17	Gene18	Gene19	Gene20	Gene21	Gene22	Gene23	Gene24	Gene25	Gene26	Gene27	Gene28	Gene29	Gene30	Gene31	Gene32
0	0.6134234	0.3801142	0.1654368	0.3636118	0.1188545	0.1591927	0.1221556	0.3126159	0.3807502	0.5567188	0.6461777	0.127533	0.5477591	0.1251606	0.0515737	0.1252262	0.2719511	0.4504937	0.500723	0.1003246	0.6058754	0.1019972	0.3483816	0.5325266	0.1046139	0.4693786	0.7193887	0.7970288	0.3913195	0.5798194	0.1996676	0.4627231
20	0.5671616	0.3396527	0.2390781	0.2452637	0.1207551	0.1911584	0.0993316	0.3972106	0.4324645	0.415842	0.5669273	0.1329274	0.5798894	0.1013272	0.0619552	0.2262365	0.2766883	0.3066907	0.6257439	0.0840575	0.520057	0.0846647	0.4278432	0.4738592	0.2031708	0.3886774	0.5974389	0.5343077	0.2633677	0.5396072	0.3749336	0.5373322
40	0.611886	0.2845942	0.1926501	0.1782951	0.1608979	0.1189005	0.1338174	0.3846691	0.428735	0.5821558	0.6321237	0.1283851	0.4316973	0.0869161	0.0510784	0.2757527	0.3289328	0.2497	0.6629721	0.0617855	0.5502399	0.18873	0.401446	0.4926106	0.1089183	0.3687719	0.5978666	0.6477537	0.1402381	0.5050729	0.4142442	0.5790903
60	0.6405644	0.3330925	0.1644573	0.1391464	0.1236059	0.0904139	0.1218567	0.3038674	0.44139	0.6533381	0.6277936	0.1652621	0.3771628	0.1310403	0.0315981	0.4184422	0.2225553	0.2990042	0.5845608	0.0816352	0.7126959	0.1363597	0.3736391	0.4369647	0.1710172	0.3520146	0.6046477	0.6406499	0.1160427	0.6345646	0.4525049	0.477928
80	0.6807683	0.3293901	0.1480298	0.1870522	0.1477742	0.0987035	0.097221	0.4327874	0.4665475	0.6468915	0.5781352	0.1375764	0.4079704	0.0946892	0.0541824	0.2875941	0.3164063	0.3133449	0.7208157	0.0761248	0.5600427	0.120081	0.3401927	0.5435822	0.1414387	0.2705362	0.7910828	0.5568394	0.0782012	0.4622668	0.495679	0.5729002
100	0.7128871	0.2913149	0.1406981	0.1721698	0.1766237	0.1100165	0.1267125	0.4290512	0.4463352	0.6242718	0.7572952	0.1701751	0.4657056	0.1165629	0.0664056	0.4084301	0.2713042	0.3836222	0.6417576	0.0816165	0.5345799	0.1157879	0.3883362	0.6489699	0.1587077	0.2736666	0.7533904	0.4848215	0.0738776	0.702486	0.5323587	0.460984
120	0.6593487	0.3179489	0.1127409	0.1034181	0.1754566	0.1052197	0.1964578	0.4782747	0.4183	0.5870818	0.5839573	0.2154609	0.5291835	0.072728	0.0787127	0.3358502	0.3430366	0.3568873	0.689125	0.0676558	0.5496791	0.1037271	0.3006475	0.6896197	0.1797888	0.3254166	0.5920375	0.4281305	0.0511811	0.6353778	0.6073602	0.5399423
140	0.6614889	0.2629407	0.1082616	0.134698	0.1223743	0.0750686	0.1774977	0.3923853	0.4625243	0.7362182	0.6975084	0.2266551	0.4621996	0.0910643	0.1096954	0.3539154	0.4206909	0.3827298	0.6570295	0.0712047	0.5542884	0.1046027	0.2723249	0.544778	0.1962902	0.3111642	0.6933806	0.4449148	0.0327113	0.5632597	0.6910006	0.4810804
160	0.6542577	0.2802313	0.115276	0.2136184	0.1926884	0.0688118	0.1252269	0.4611511	0.373145	0.58103	0.5730002	0.251001	0.4131515	0.1383196	0.0619284	0.3268974	0.4440126	0.3392475	0.674228	0.1297168	0.5049647	0.0692889	0.2478564	0.6265403	0.2046223	0.3530353	0.7331992	0.5177916	0.0323618	0.4983563	0.5791768	0.6788524
180	0.6110288	0.2732308	0.0850094	0.143133	0.1175533	0.0650871	0.138067	0.4079077	0.5149139	0.530872	0.6267024	0.2526283	0.4316149	0.1601906	0.0471475	0.5806402	0.4756154	0.4023635	0.6253011	0.1294755	0.5628903	0.0506647	0.2568031	0.467642	0.2003601	0.2933609	0.6543771	0.3873536	0.0267075	0.4838833	0.6591462	0.5815907
